"","variable","Estimate","Std. Error","z-value","Pr(>|z|)"
"1","reclamation",0.450306387297107,0.0665897967089925,6.76239318262248,1.35731426098573e-11
"2","blueprint",-0.126801043151642,0.0652545423314483,-1.94317573338542,0.0519949290351542
"3","long division",-0.441750143000006,0.0642881880044515,-6.87140447899104,6.35735908360857e-12
"4","merchandise",-0.191973594627038,0.0624394681986343,-3.07455524791349,0.00210816671201242
"5","margin walker",-0.37551003965013,0.0651318026951526,-5.76538686342973,8.14707412644111e-09
"6","sieve-fisted find",-0.179758044732947,0.0673242228131138,-2.67003520013799,0.00758432955637489
"7","repeater",-0.816521209828832,0.069024279435595,-11.8294782141219,0
"8","turnover",-0.401129512405829,0.0684064057374753,-5.86391739313497,4.52072446144314e-09
"9","promises",-0.890941358104481,0.0680945262169794,-13.0838909909667,0
"10","and the same",-0.582523517498974,0.0670398227502664,-8.68921625388187,0
"11","two beats off",-0.765849012515765,0.0696632686436429,-10.9935842435618,0
"12","give me the cure",-0.765153420204569,0.0673604427110632,-11.3590913213951,0
"13","rend it",-0.208067123527063,0.0865234036425747,-2.4047496372956,0.0161835487342683
"14","suggestion",-0.871236442453481,0.06875363582537,-12.6718599241263,0
"15","shut the door",-0.983008857351045,0.0722911730824267,-13.5979098890844,0
"16","song #1",-0.759450463391233,0.0699652514206727,-10.8546806874882,0
"17","bed for the scraping",0.468594841078476,0.116549956155152,4.02054926948819,5.80626038040322e-05
"18","facet squared",-0.366810328428717,0.0862530647362825,-4.25272226036529,2.11187439040916e-05
"19","styrofoam",-0.862921901484172,0.0790154548247916,-10.9209255758587,0
"20","bad mouth",-0.968527242046141,0.0733439439532284,-13.2052789888661,0
"21","exit only",-0.968715334960761,0.0813654460507323,-11.9057337233395,0
"22","reprovisional",-1.26371452283293,0.0754840815110309,-16.7414704867046,0
"23","do you like me",0.293046994232875,0.118086690756883,2.48162593391834,0.0130784487522593
"24","instrument",-0.644518323757009,0.0911542836053213,-7.07063122285768,1.54232182580927e-12
"25","great cop",-0.731245386525052,0.0912110974830382,-8.01706597885236,1.11022302462516e-15
"26","runaway return",-1.13531446371141,0.0797179296948596,-14.2416451111703,0
"27","public witness program",-0.452943790119623,0.10020050555119,-4.52037429979058,6.17303899641541e-06
"28","target",0.0142068285742647,0.114852475035759,0.123696320604683,0.901555725019398
"29","smallpox champion",-0.58085449566175,0.0991207623082972,-5.86006889106752,4.62675187051786e-09
"30","sweet and low",-1.00934097963479,0.0953933777531049,-10.5808286005675,0
"31","by you",-0.570415753716094,0.103742803945092,-5.49836453252213,3.83329856745718e-08
"32","bulldog front",-1.2553896191763,0.0797146933259686,-15.7485347656394,0
"33","burning",-1.35057954686721,0.0805980479933203,-16.7569758882887,0
"34","burning too",-1.33309142188623,0.0813123261069541,-16.3947028170458,0
"35","forensic scene",-0.536709078896422,0.120099365962531,-4.4688752067506,7.86319867063234e-06
"36","birthday pony",-0.349208872045337,0.120219652172678,-2.90475696555627,0.00367538366346842
"37","greed",-1.4236854726549,0.086485328930904,-16.4615836032991,0
"38","latin roots",-1.38648974733724,0.0932219545953905,-14.8729958876639,0
"39","kyeo",-1.73185890998693,0.0868569849189535,-19.9392013388783,0
"40","cassavetes",-1.3214663931475,0.0996528658533516,-13.2606963365425,0
"41","break",0.447236169023838,0.14373124896263,3.11161401749259,0.00186067605567697
"42","lockdown",-1.68883877642344,0.0891470466614122,-18.9444164408249,0
"43","closed captioned",0.179096696886953,0.151911297543783,1.17895574445564,0.238415798657911
"44","brendan #1",-1.69142296988274,0.0924689465485313,-18.2917945214723,0
"45","arpeggiator",-0.268125813177768,0.151111572166424,-1.77435658522878,0.0760041862785767
"46","stacks",-1.57041292283251,0.0998919690822733,-15.7211128908579,0
"47","dear justice letter",-1.53397125257822,0.100739202478961,-15.2271530330864,0
"48","recap modotti",-0.01150393980154,0.152521093910696,-0.0754252379561072,0.939876379414494
"49","walken's syndrome",-1.25648807790034,0.113718017143574,-11.0491557051507,0
"50","last chance for a slow dance",-1.63468830905232,0.106584533794334,-15.3370123305753,0
"51","back to base",-0.953743075097027,0.133389179409111,-7.15007828462494,8.67306226837172e-13
"52","break-in",-1.92330878382227,0.0958571687811255,-20.0643186970589,0
"53","fell, destroyed",-1.27765496626655,0.120812434572861,-10.5755253652802,0
"54","returning the screw",-1.36228980164989,0.115203401998563,-11.825083096651,0
"55","place position",0.0724564014695536,0.148619601444984,0.48752924086111,0.625883326128718
"56","glueman",-2.05036021224368,0.0969296426812968,-21.1530771756297,0
"57","joe #1",-1.9676901499658,0.0975769232818106,-20.165527706617,0
"58","fd",-0.527461184641214,0.157811527935022,-3.34234888631452,0.000830725739989324
"59","nice new outfit",-1.84343656040643,0.110487730272658,-16.6845364264181,0
"60","long distance runner",-1.30766707769094,0.138822883575912,-9.41967955143273,0
"61","downed city",-1.23552324253482,0.139042464607444,-8.88594175903783,0
"62","five corporations",-0.576561770353428,0.153842353517676,-3.74774408457802,0.000178432169186227
"63","number 5",-0.126778620519959,0.173432880944344,-0.730995298179033,0.464782024854251
"64","floating boy",-0.60029852439719,0.155356031764896,-3.86401813677653,0.000111536934540357
"65","furniture",-2.28160729395168,0.111754675512254,-20.4162133127173,0
"66","no surprise",-0.885800497914132,0.160865524486971,-5.50646573116962,3.66109189631203e-08
"67","oh",-0.483067544787001,0.184456136235152,-2.61887489701707,0.0088220294285446
"68","pink frosty",-1.34556466067039,0.167788271035217,-8.01942026321955,1.11022302462516e-15
"69","argument",-0.433994969238196,0.194251952216619,-2.23418588223108,0.0254708449641037
"70","cashout",0.132092229385711,0.208173114837747,0.634530686100681,0.525734547175609
"71","caustic acrostic",-1.57727791725422,0.180634987266904,-8.73185168122303,0
"72","ex-spectator",-0.740367649575848,0.210790548791312,-3.51233797635221,0.000444182745459099
"73","steady diet",-2.79511902614129,0.159101089376703,-17.5681953976022,0
"74","nightshop",-1.00182710178585,0.214588807865268,-4.66858971701294,3.0327433679922e-06
"75","latest disgrace",-2.36747573950201,0.18973778153608,-12.4776189556734,0
"76","the kill",-0.445161470648363,0.237551769243012,-1.87395561004208,0.0609365436664009
"77","version",-2.59916440595128,0.197243655608106,-13.1774297020505,0
"78","foreman's dog",-1.87857680322385,0.222451401637067,-8.44488634101205,0
"79","guilford fall",-2.00281303330694,0.213892988327291,-9.36362172958336,0
"80","the word",-3.53497877152411,0.1875032985264,-18.8528884521271,0
"81","epic problem",-0.868810676422452,0.243884327906747,-3.56238830054982,0.000367496285755609
"82","23 beats off",-3.14317842605053,0.210456321771032,-14.9350630078491,0
"83","in defense of humans",-3.69616927608541,0.204339782625861,-18.0883488696519,0
"84","full disclosure",-0.814495936929925,0.263779443586625,-3.08779154984624,0.00201649861866415
"85","combination lock",-3.03124558398451,0.240790490167029,-12.5887263316829,0
"86","life and limb",-0.766782812806717,0.280551425696898,-2.73312748599301,0.00627360443359026
"87","strangelight",-1.29331238238514,0.283637530749356,-4.55973643180531,5.12178631062454e-06
"88","turn off your guns",-4.21526256869906,0.261543984956868,-16.1168400389488,0
"89","provisional",-2.55289966861107,0.359063162744047,-7.1098902184819,1.16129328375791e-12
"90","polish",-4.94324764221028,0.412478020692047,-11.9842692076455,0
"91","hello morning",-3.41225260882984,0.726797961624746,-4.69491218880388,2.66721274755355e-06
"92","yearsold_1",0.213070399116542,0.0302786842229472,7.03697682328823,1.96465066437668e-12
"93","yearsold_2",-0.0806173756989076,0.0374123474283154,-2.15483339700552,0.0311748737988795
"94","yearsold_3",-0.321834891312204,0.0476138856449569,-6.75926543176994,1.38693501128273e-11
"95","yearsold_4",-0.614887372166636,0.0595215555082755,-10.3304990421688,0
"96","yearsold_5",-0.779240272664692,0.072885499991587,-10.6912935049446,0
"97","yearsold_6",-0.867416405856924,0.0845789321357522,-10.255702974172,0
"98","yearsold_7",-0.961290238322539,0.0987189499082468,-9.73764651281237,0
"99","yearsold_8",-0.81569544297239,0.126871818599836,-6.42928785899382,1.28203225813195e-10
