"","songid","song","launchdate","count"
"1",1,"waiting room",1987-09-03,628
"2",2,"reclamation",1990-05-05,594
"3",3,"blueprint",1989-11-25,585
"4",4,"long division",1989-04-09,497
"5",5,"merchandise",1987-09-03,474
"6",6,"margin walker",1988-08-01,426
"7",7,"sieve-fisted find",1989-04-05,417
"8",8,"repeater",1989-07-20,408
"9",9,"turnover",1989-04-09,392
"10",10,"promises",1988-10-15,376
"11",11,"and the same",1987-09-26,374
"12",12,"two beats off",1989-05-03,369
"13",13,"give me the cure",1988-03-30,365
"14",14,"rend it",1991-12-08,347
"15",15,"suggestion",1987-12-03,338
"16",16,"shut the door",1989-04-05,321
"17",17,"song #1",1987-09-03,318
"18",18,"bed for the scraping",1994-11-20,299
"19",19,"facet squared",1991-08-12,298
"20",20,"styrofoam",1990-05-17,288
"21",21,"bad mouth",1987-10-16,276
"22",22,"exit only",1990-07-06,275
"23",23,"reprovisional",1988-12-29,275
"24",24,"do you like me",1994-11-20,272
"25",25,"instrument",1992-01-25,271
"26",26,"great cop",1991-12-08,268
"27",27,"runaway return",1990-02-11,264
"28",28,"public witness program",1993-02-05,262
"29",29,"target",1994-08-15,261
"30",30,"smallpox champion",1992-10-23,251
"31",31,"sweet and low",1992-05-15,247
"32",32,"by you",1993-04-24,232
"33",33,"bulldog front",1988-06-15,223
"34",34,"burning",1988-02-06,212
"35",35,"burning too",1988-08-01,212
"36",36,"forensic scene",1994-08-19,201
"37",37,"birthday pony",1994-08-15,200
"38",38,"greed",1989-04-05,187
"39",39,"latin roots",1990-10-01,181
"40",40,"kyeo",1987-10-07,173
"41",41,"cassavetes",1991-07-28,171
"42",42,"break",1996-08-15,170
"43",43,"lockdown",1987-12-03,162
"44",44,"closed captioned",1997-06-18,158
"45",45,"brendan #1",1989-04-05,156
"46",46,"arpeggiator",1997-05-02,154
"47",47,"stacks",1991-02-15,153
"48",48,"dear justice letter",1991-01-02,148
"49",49,"recap modotti",1997-05-03,141
"50",50,"walken's syndrome",1992-10-23,141
"51",51,"last chance for a slow dance",1991-07-28,137
"52",52,"back to base",1994-11-20,135
"53",53,"break-in",1987-10-16,134
"54",54,"fell, destroyed",1993-08-16,134
"55",55,"returning the screw",1992-10-23,134
"56",56,"place position",1996-08-15,133
"57",57,"glueman",1988-05-12,132
"58",58,"joe #1",1987-09-03,130
"59",59,"fd",1997-05-02,115
"60",60,"nice new outfit",1991-02-20,114
"61",61,"long distance runner",1994-11-27,112
"62",62,"downed city",1994-11-20,111
"63",63,"five corporations",1996-08-15,110
"64",64,"number 5",1998-11-21,109
"65",65,"floating boy",1996-10-16,107
"66",66,"furniture",1987-09-03,93
"67",67,"no surprise",1996-09-29,89
"68",68,"oh",1998-11-29,78
"69",69,"pink frosty",1996-03-20,67
"70",70,"argument",1999-08-26,66
"71",71,"cashout",2000-09-30,59
"72",72,"caustic acrostic",1996-01-30,51
"73",73,"ex-spectator",1999-08-26,46
"74",74,"steady diet",1991-04-12,46
"75",75,"nightshop",1999-08-26,43
"76",76,"latest disgrace",1994-11-20,39
"77",77,"the kill",2001-04-05,35
"78",78,"version",1994-08-27,34
"79",79,"foreman's dog",1998-05-01,33
"80",80,"guilford fall",1996-08-15,32
"81",81,"the word",1987-09-03,32
"82",82,"epic problem",2000-10-01,30
"83",83,"23 beats off",1992-10-23,26
"84",84,"in defense of humans",1987-09-03,25
"85",85,"full disclosure",2001-04-05,24
"86",86,"combination lock",1994-11-27,21
"87",87,"life and limb",2001-06-21,20
"88",88,"strangelight",2001-04-06,19
"89",89,"turn off your guns",1987-09-03,15
"90",90,"provisional",1988-11-14,8
"91",91,"polish",1991-03-06,6
"92",92,"hello morning",2001-04-27,2
