"","songid","song","launchdate","chosen","available_rl","intensity"
"1",71,"cashout",2000-09-30,59,65,0.907692307692308
"2",44,"closed captioned",1997-06-18,158,198,0.797979797979798
"3",18,"bed for the scraping",1994-11-20,298,376,0.792553191489362
"4",64,"number 5",1998-11-21,109,144,0.756944444444444
"5",2,"reclamation",1990-05-05,593,793,0.747793190416141
"6",42,"break",1996-08-15,170,228,0.745614035087719
"7",46,"arpeggiator",1997-05-02,154,207,0.743961352657005
"8",24,"do you like me",1994-11-20,271,376,0.720744680851064
"9",3,"blueprint",1989-11-25,584,823,0.709599027946537
"10",1,"waiting room",1987-09-03,628,895,0.701675977653631
"11",49,"recap modotti",1997-05-03,141,206,0.684466019417476
"12",29,"target",1994-08-15,260,384,0.677083333333333
"13",70,"argument",1999-08-26,66,100,0.66
"14",77,"the kill",2001-04-05,35,57,0.614035087719298
"15",14,"rend it",1991-12-08,346,583,0.593481989708405
"16",4,"long division",1989-04-09,496,845,0.58698224852071
"17",56,"place position",1996-08-15,133,228,0.583333333333333
"18",68,"oh",1998-11-29,78,136,0.573529411764706
"19",59,"fd",1997-05-02,115,207,0.555555555555556
"20",5,"merchandise",1987-09-03,474,895,0.529608938547486
"21",36,"forensic scene",1994-08-19,200,382,0.523560209424084
"22",37,"birthday pony",1994-08-15,199,384,0.518229166666667
"23",28,"public witness program",1993-02-05,262,512,0.51171875
"24",6,"margin walker",1988-08-01,426,868,0.490783410138249
"25",7,"sieve-fisted find",1989-04-05,416,849,0.489988221436985
"26",8,"repeater",1989-07-20,408,835,0.488622754491018
"27",30,"smallpox champion",1992-10-23,251,515,0.487378640776699
"28",32,"by you",1993-04-24,231,476,0.485294117647059
"29",19,"facet squared",1991-08-12,298,619,0.481421647819063
"30",63,"five corporations",1996-08-15,109,228,0.478070175438596
"31",65,"floating boy",1996-10-16,106,226,0.469026548672566
"32",82,"epic problem",2000-10-01,30,64,0.46875
"33",87,"life and limb",2001-06-21,20,43,0.465116279069767
"34",25,"instrument",1992-01-25,270,581,0.464716006884682
"35",9,"turnover",1989-04-09,392,845,0.463905325443787
"36",73,"ex-spectator",1999-08-26,46,100,0.46
"37",26,"great cop",1991-12-08,267,583,0.457975986277873
"38",12,"two beats off",1989-05-03,369,843,0.437722419928826
"39",31,"sweet and low",1992-05-15,246,562,0.437722419928826
"40",10,"promises",1988-10-15,376,864,0.435185185185185
"41",75,"nightshop",1999-08-26,43,100,0.43
"42",85,"full disclosure",2001-04-05,24,57,0.421052631578947
"43",11,"and the same",1987-09-26,374,894,0.41834451901566
"44",13,"give me the cure",1988-03-30,364,882,0.412698412698413
"45",67,"no surprise",1996-09-29,89,227,0.392070484581498
"46",15,"suggestion",1987-12-03,337,890,0.378651685393258
"47",16,"shut the door",1989-04-05,321,849,0.378091872791519
"48",20,"styrofoam",1990-05-17,288,786,0.366412213740458
"49",22,"exit only",1990-07-06,275,753,0.365205843293493
"50",52,"back to base",1994-11-20,135,376,0.359042553191489
"51",17,"song #1",1987-09-03,318,895,0.355307262569832
"52",88,"strangelight",2001-04-06,19,56,0.339285714285714
"53",27,"runaway return",1990-02-11,264,815,0.323926380368098
"54",23,"reprovisional",1988-12-29,275,850,0.323529411764706
"55",21,"bad mouth",1987-10-16,276,892,0.309417040358744
"56",54,"fell, destroyed",1993-08-16,134,448,0.299107142857143
"57",61,"long distance runner",1994-11-27,112,375,0.298666666666667
"58",62,"downed city",1994-11-20,110,376,0.292553191489362
"59",50,"walken's syndrome",1992-10-23,141,515,0.27378640776699
"60",41,"cassavetes",1991-07-28,171,630,0.271428571428571
"61",69,"pink frosty",1996-03-20,67,250,0.268
"62",55,"returning the screw",1992-10-23,134,515,0.260194174757282
"63",33,"bulldog front",1988-06-15,223,871,0.256027554535017
"64",39,"latin roots",1990-10-01,181,727,0.248968363136176
"65",35,"burning too",1988-08-01,212,868,0.244239631336406
"66",34,"burning",1988-02-06,212,885,0.23954802259887
"67",47,"stacks",1991-02-15,153,689,0.222060957910015
"68",38,"greed",1989-04-05,187,849,0.220259128386337
"69",51,"last chance for a slow dance",1991-07-28,137,630,0.217460317460317
"70",48,"dear justice letter",1991-01-02,148,692,0.213872832369942
"71",72,"caustic acrostic",1996-01-30,51,253,0.201581027667984
"72",40,"kyeo",1987-10-07,173,893,0.193729003359462
"73",79,"foreman's dog",1998-05-01,33,175,0.188571428571429
"74",45,"brendan #1",1989-04-05,156,849,0.183745583038869
"75",43,"lockdown",1987-12-03,162,890,0.182022471910112
"76",60,"nice new outfit",1991-02-20,114,688,0.165697674418605
"77",53,"break-in",1987-10-16,134,892,0.150224215246637
"78",57,"glueman",1988-05-12,132,879,0.150170648464164
"79",58,"joe #1",1987-09-03,130,895,0.145251396648045
"80",80,"guilford fall",1996-08-15,32,228,0.140350877192982
"81",66,"furniture",1987-09-03,93,895,0.10391061452514
"82",76,"latest disgrace",1994-11-20,39,376,0.103723404255319
"83",78,"version",1994-08-27,34,377,0.0901856763925729
"84",74,"steady diet",1991-04-12,46,671,0.0685543964232489
"85",86,"combination lock",1994-11-27,21,375,0.056
"86",83,"23 beats off",1992-10-23,26,515,0.0504854368932039
"87",92,"hello morning",2001-04-27,2,44,0.0454545454545455
"88",81,"the word",1987-09-03,32,895,0.0357541899441341
"89",84,"in defense of humans",1987-09-03,25,895,0.0279329608938547
"90",89,"turn off your guns",1987-09-03,15,895,0.0167597765363128
"91",90,"provisional",1988-11-14,8,859,0.00931315483119907
"92",91,"polish",1991-03-06,6,683,0.00878477306002928
