"","rank_rating","songid","song","Estimate","z-value"
"1",1,10,"break",3.61570510729558,16.617716983482
"2",2,7,"bed for the scraping",3.61334126068695,17.435838054024
"3",3,69,"reclamation",3.59244411640477,17.636951702142
"4",4,23,"do you like me",3.43871483401671,16.533689802831
"5",5,20,"closed captioned",3.33333620940943,15.1092022864724
"6",6,17,"cashout",3.32265138710899,13.1051731037566
"7",7,62,"place position",3.22893258006394,14.6008509918587
"8",8,92,"waiting room",3.15295117616882,14.9899786565369
"9",9,85,"target",3.15236673638972,15.1845872701871
"10",10,68,"recap modotti",3.13290576377633,14.1264913047085
"11",11,59,"number 5",3.02276303525277,13.0592558412391
"12",12,9,"blueprint",3.01315075891895,14.7660306330162
"13",13,76,"sieve-fisted find",2.9631796003348,14.2730500580927
"14",14,55,"merchandise",2.95810348351493,13.9898712410355
"15",15,70,"rend it",2.93041346003707,14.3628117654593
"16",16,4,"arpeggiator",2.8777904672131,13.0535028477357
"17",17,8,"birthday pony",2.78458703247254,13.2316480237042
"18",18,28,"facet squared",2.78095405606293,13.5261231650492
"19",19,54,"margin walker",2.78001580330241,13.3207214103386
"20",20,89,"turnover",2.74757872238166,13.2201519528042
"21",21,53,"long division",2.70579304493306,13.0921714177447
"22",22,67,"public witness program",2.70025986692935,13.1220017504793
"23",23,3,"argument",2.69853424852892,10.959875029115
"24",24,60,"oh",2.68115226044109,11.2161227128959
"25",25,86,"the kill",2.66554718126008,9.58996198166563
"26",26,29,"fd",2.61699929251419,11.6168246571685
"27",27,34,"forensic scene",2.60825845150802,12.4041995872381
"28",28,16,"by you",2.57936658837989,12.4576025732177
"29",29,77,"smallpox champion",2.567427434012,12.4542102473285
"30",30,31,"five corporations",2.56055444192268,11.3981244785877
"31",31,2,"and the same",2.54701258151574,11.9688710173712
"32",32,32,"floating boy",2.53528069176293,11.2469895830126
"33",33,44,"instrument",2.50097683315277,12.145113859162
"34",34,50,"life and limb",2.41184584925468,7.74441121643043
"35",35,39,"great cop",2.41039705510013,11.7003086752115
"36",36,78,"song #1",2.39507655278099,11.2104401718944
"37",37,26,"ex-spectator",2.39098251152514,9.21635853444255
"38",38,90,"two beats off",2.38208971349516,11.4492339869637
"39",39,37,"give me the cure",2.38155170230278,11.2835516919372
"40",40,35,"full disclosure",2.36181572366453,7.92688897227706
"41",41,71,"repeater",2.33062934218183,11.2796053074837
"42",42,25,"epic problem",2.28730921156514,8.09436911809131
"43",43,82,"styrofoam",2.2759941306409,10.9569161997441
"44",44,83,"suggestion",2.27224780574583,10.7145528905618
"45",45,58,"no surprise",2.26697061518033,9.88989958585208
"46",46,65,"promises",2.25387354841705,10.7811388404984
"47",47,5,"back to base",2.2013490296493,10.1685895318726
"48",48,6,"bad mouth",2.18727991104469,10.2144139796657
"49",49,27,"exit only",2.17271863801917,10.4619968268909
"50",50,75,"shut the door",2.16647984733201,10.3523979957502
"51",51,57,"nightshop",2.16211755294913,8.27356453194562
"52",52,84,"sweet and low",2.14194127851975,10.3790491269635
"53",53,74,"runaway return",2.01246284700066,9.6328679734701
"54",54,24,"downed city",1.90550166965106,8.65391875909711
"55",55,13,"bulldog front",1.89926950036032,8.87591659921351
"56",56,30,"fell, destroyed",1.89047929108627,8.82030164260888
"57",57,93,"walken's syndrome",1.8861760702951,8.83285913710028
"58",58,72,"reprovisional",1.87987469656209,8.91624255546474
"59",59,52,"long distance runner",1.84883761340244,8.4105251236689
"60",60,81,"strangelight",1.82503243026057,5.73652291305549
"61",61,15,"burning too",1.82086119672103,8.49884539271427
"62",62,18,"cassavetes",1.81999434848856,8.61000943070863
"63",63,61,"pink frosty",1.80699950990229,7.66352846020036
"64",64,14,"burning",1.80130947317972,8.33556641297205
"65",65,73,"returning the screw",1.78112951142931,8.30743020871224
"66",66,49,"latin roots",1.76047209378679,8.31597753592712
"67",67,40,"greed",1.72646074234888,8.04701547389589
"68",68,22,"dear justice letter",1.60841970071651,7.50828186348128
"69",69,19,"caustic acrostic",1.57516013177102,6.41913270113212
"70",70,79,"stacks",1.57117131336459,7.35319198313493
"71",71,47,"last chance for a slow dance",1.50659935780833,7.01764156669287
"72",72,12,"brendan #1",1.46967100232984,6.77633566441139
"73",73,51,"lockdown",1.46840552475904,6.68908913847324
"74",74,46,"kyeo",1.40565401782017,6.39984351275484
"75",75,56,"nice new outfit",1.30928385389621,5.98717543617925
"76",76,33,"foreman's dog",1.2639355153251,4.65250287963733
"77",77,11,"break-in",1.21955470873645,5.46603807494713
"78",78,45,"joe #1",1.17266554664191,5.2268177889626
"79",79,41,"guilford fall",1.1502457402879,4.27225722523009
"80",80,38,"glueman",1.09750592103624,4.94990608323728
"81",81,36,"furniture",0.868536684349473,3.76278811791638
"82",82,48,"latest disgrace",0.779304022074771,3.05386491272347
"83",83,66,"provisional",0.554426194391048,1.35143432235046
"84",84,91,"version",0.545403435796649,2.0821579155453
"85",85,80,"steady diet",0.346699908264935,1.40644219004582
"86",86,21,"combination lock",0.114259822708046,0.387182449553022
"87",87,1,"23 beats off",0,NA
"88",88,42,"hello morning",-0.285571194964783,-0.38543605140888
"89",89,87,"the word",-0.433239496936888,-1.55943718092696
"90",90,43,"in defense of humans",-0.560572282849237,-1.95011326567918
"91",91,88,"turn off your guns",-1.15083178495992,-3.40779240274277
"92",92,94,"world beat",-1.7994190625422,-2.44739120529739
"93",93,63,"polish",-1.80116431674247,-3.97077503330378
"94",94,64,"preprovisional",-2.06153649031167,-4.52414864454782
