"","songid","releaseid","release","track_number","instrumental","vocals_picciotto","vocals_mackaye","vocals_lally","duration_seconds"
"1",83,6,"In on the Killtaker",6,0,0,1,0,401
"2",88,9,"The Argument",7,0,1,0,0,353
"3",65,8,"End Hits",8,0,1,0,0,345
"4",77,9,"The Argument",6,0,0,0,1,327
"5",32,7,"Red Medicine",8,0,0,0,1,311
"6",44,8,"End Hits",7,0,0,1,0,292
"7",16,4,"Repeater",11,0,0,1,0,289
"8",15,1,"Fugazi",6,0,0,1,0,284
"9",51,6,"In on the Killtaker",12,0,1,0,0,278
"10",81,11,"First Demo",5,0,0,1,0,278
"11",68,9,"The Argument",8,0,1,0,0,269
"12",46,8,"End Hits",10,1,0,0,0,268
"13",70,9,"The Argument",11,0,0,1,0,267
"14",71,9,"The Argument",2,0,0,1,0,264
"15",57,1,"Fugazi",7,0,1,0,0,263
"16",79,8,"End Hits",9,0,1,0,0,261
"17",73,9,"The Argument",9,0,0,1,0,258
"18",61,7,"Red Medicine",13,0,0,1,0,257
"19",9,4,"Repeater",1,0,1,0,0,256
"20",67,8,"End Hits",4,0,1,0,0,252
"21",69,8,"End Hits",12,0,0,1,0,249
"22",10,2,"Margin Walker",6,0,0,1,0,242
"23",75,9,"The Argument",10,0,1,0,0,242
"24",30,6,"In on the Killtaker",4,0,1,0,0,241
"25",82,9,"The Argument",4,0,0,1,0,239
"26",27,5,"Steady Diet",8,0,1,0,0,238
"27",85,9,"The Argument",3,0,1,0,0,233
"28",3,4,"Repeater",5,0,1,0,0,232
"29",49,8,"End Hits",3,0,0,0,1,230
"30",14,6,"In on the Killtaker",5,0,1,0,0,228
"31",54,7,"Red Medicine",7,0,1,0,0,226
"32",25,6,"In on the Killtaker",11,0,0,1,0,223
"33",89,11,"First Demo",8,0,0,1,0,223
"34",74,5,"Steady Diet",6,1,0,0,0,222
"35",59,8,"End Hits",13,0,0,1,0,222
"36",91,5,"Steady Diet",9,0,0,1,0,218
"37",31,6,"In on the Killtaker",7,1,0,0,0,216
"38",66,10,"Furniture",1,0,0,1,0,215
"39",76,7,"Red Medicine",3,0,1,0,0,214
"40",29,7,"Red Medicine",10,0,1,0,0,212
"41",12,4,"Repeater",8,0,1,0,0,208
"42",11,2,"Margin Walker",2,0,0,1,0,207
"43",48,5,"Steady Diet",10,0,1,0,0,207
"44",60,5,"Steady Diet",3,0,1,0,0,206
"45",7,4,"Repeater",6,0,1,0,0,204
"46",2,5,"Steady Diet",2,0,0,1,0,201
"47",78,7,"Red Medicine",9,1,0,0,0,200
"48",50,6,"In on the Killtaker",10,0,1,0,0,198
"49",24,7,"Red Medicine",1,0,1,0,0,196
"50",39,5,"Steady Diet",5,0,1,0,0,193
"51",55,6,"In on the Killtaker",3,0,0,1,0,193
"52",22,5,"Steady Diet",1,0,1,0,0,191
"53",87,9,"The Argument",5,0,1,0,0,189
"54",64,10,"Furniture",2,1,0,0,0,189
"55",47,5,"Steady Diet",4,0,0,1,0,188
"56",37,7,"Red Medicine",4,0,0,1,0,188
"57",86,7,"Red Medicine",6,1,0,0,0,186
"58",36,7,"Red Medicine",5,0,1,0,0,185
"59",58,3,"3 Songs",2,1,0,0,0,181
"60",8,4,"Repeater",2,0,0,1,0,181
"61",5,4,"Repeater",4,0,0,1,0,179
"62",13,1,"Fugazi",5,0,1,0,0,178
"63",40,5,"Steady Diet",11,0,0,1,0,178
"64",80,8,"End Hits",11,0,1,0,0,177
"65",17,3,"3 Songs",1,0,0,1,0,174
"66",1,1,"Fugazi",1,0,0,1,0,173
"67",33,1,"Fugazi",2,0,1,0,0,173
"68",62,7,"Red Medicine",12,0,1,0,0,173
"69",35,2,"Margin Walker",3,0,0,1,0,170
"70",18,7,"Red Medicine",2,0,0,1,0,170
"71",84,11,"First Demo",10,0,0,1,0,167
"72",56,8,"End Hits",2,0,1,0,0,165
"73",19,6,"In on the Killtaker",1,0,0,1,0,162
"74",34,1,"Fugazi",4,0,1,0,0,159
"75",21,1,"Fugazi",3,0,0,1,0,155
"76",20,4,"Repeater",9,0,0,1,0,154
"77",45,4,"Repeater",3,1,0,0,0,152
"78",6,2,"Margin Walker",1,0,1,0,0,150
"79",41,6,"In on the Killtaker",8,0,1,0,0,150
"80",63,8,"End Hits",5,0,0,1,0,149
"81",23,4,"Repeater",10,0,1,0,0,138
"82",90,2,"Margin Walker",4,0,1,0,0,137
"83",4,5,"Steady Diet",7,0,0,1,0,132
"84",42,8,"End Hits",1,0,0,1,0,132
"85",43,2,"Margin Walker",5,0,1,0,0,130
"86",92,10,"Furniture",3,0,1,0,0,126
"87",28,6,"In on the Killtaker",2,0,1,0,0,124
"88",72,8,"End Hits",6,0,1,0,0,121
"89",26,6,"In on the Killtaker",9,0,0,1,0,112
"90",38,4,"Repeater",7,0,0,1,0,107
"91",52,7,"Red Medicine",11,0,0,1,0,105
"92",53,3,"3 Songs",3,0,1,0,0,92
