"","rank","songid","song","launchdate","duration","chosen","available_rl","intensity","rating","releaseid","releasedate","lead","launchyear","releaseyear"
"1",26,36,"furniture",1987-09-03,215,93,895,0.10391061452514,0.814239988861616,10,2001-10-16,5157,1987,2001
"2",38,87,"the word",1987-09-03,278,32,895,0.0357541899441341,0.771726975110617,11,2014-11-18,9938,1987,2014
"3",58,88,"turn off your guns",1987-09-03,223,15,895,0.0167597765363128,0.674434865962154,11,2014-11-18,9938,1987,2014
"4",64,55,"merchandise",1987-09-03,179,474,895,0.529608938547486,0.661689221668597,4,1990-03-01,910,1987,1990
"5",71,43,"in defense of humans",1987-09-03,167,25,895,0.0279329608938547,0.601349517439973,11,2014-11-18,9938,1987,2014
"6",72,45,"joe #1",1987-09-03,181,130,895,0.145251396648045,0.600872010293881,3,1989-12-01,820,1987,1989
"7",83,78,"song #1",1987-09-03,174,318,895,0.355307262569832,0.433139590351586,3,1989-12-01,820,1987,1989
"8",87,92,"waiting room",1987-09-03,173,628,895,0.701675977653631,0.282897190394585,1,1988-11-19,443,1987,1988
"9",2,2,"and the same",1987-09-26,207,374,894,0.41834451901566,0.996620660368841,2,1989-06-15,628,1987,1989
"10",15,46,"kyeo",1987-10-07,178,173,893,0.193729003359462,0.863868792092311,5,1991-08-01,1394,1987,1991
"11",18,6,"bad mouth",1987-10-16,155,276,892,0.309417040358744,0.844026339765963,1,1988-11-19,400,1987,1988
"12",30,11,"break-in",1987-10-16,92,134,892,0.150224215246637,0.805774399047422,3,1989-12-01,777,1987,1989
"13",70,51,"lockdown",1987-12-03,130,162,890,0.182022471910112,0.611355438258684,2,1989-06-15,560,1987,1989
"14",86,83,"suggestion",1987-12-03,284,338,890,0.379775280898876,0.332616705256701,1,1988-11-19,352,1987,1988
"15",14,14,"burning",1988-02-06,159,212,885,0.23954802259887,0.874966433946479,1,1988-11-19,287,1988,1988
"16",16,37,"give me the cure",1988-03-30,178,365,882,0.413832199546485,0.848886268281254,1,1988-11-19,234,1988,1988
"17",66,38,"glueman",1988-05-12,263,132,879,0.150170648464164,0.650344532462548,1,1988-11-19,191,1988,1988
"18",36,13,"bulldog front",1988-06-15,173,223,871,0.256027554535017,0.77202805419915,1,1988-11-19,157,1988,1988
