country,city,venue,googlemaps_hyperlink,count1,count2,count3,link_x,link_y
USA,Savannah,River Rock,,,,,,
USA,Savannah,Sun,,,,,,
USA,Savannah,Zoo,,,,,,
England,Nottingham,Underground Hic,,,,,,
Germany,Augsburg,Bootleg,,,,,,
Germany,Mainz,Kuze,,,,,,
Norway,Tromso,Brigga Lillero Cafe,,,,,,
Poland,Pila,Sports Gym,,,,,,
Poland,Warsaw,Karuzela University,,,,,,
Poland,Wroclaw,Kazamaty,,,,,,
Poland,Zgorzelec,Cultural Center / Military Museum,,,,,,
Scotland,Aberdeen,Lemon Tree,,,,,,
Spain,Bergara,Sala Jam,,,,,,
Spain,Lakuntza,Sala Matraka,,,,,,
Spain,Madrid,Revolver,,,,,,
Spain,Oviedo,Sala Antiquo,,,,,,
Spain,San.De Campostela,Sala Numero K,,,,,,
Spain,Valencia,Zepplin Rock,,,,,,
Spain,Zaragoza,En Bruto,,,,,,
Sweden,Gavle,Cafe Q,,,,,,
Sweden,Linkoping,Rock Lamour,,,,,,
Sweden,Lund,Mejeriet,,,,,,
Sweden,Umea,Galaxen,,,,,,
Switzerland,Geneva,L'Usine,,,,,,
USA,Akron,Jackie Lee's Scooterz Entertainment Center,,,,,,
USA,Albany,S.U.N.Y. Albany,,,,,,
USA,Ames,Hunky Dory's,,,,,,
USA,Amherst,University of Massachusetts,,,,,,
USA,Anchorage,Egan Center,,,,,,
USA,Ann Arbor,University of Michigan Ballrooom,,,,,,
USA,Annapolis,Unitarian Church,,,,,,
USA,Asheville,Asheville Music Zone,,,,,,
USA,Athens,40 Watt,,,,,,
USA,Bellevue,YMCA,,,,,,
USA,Bellingham,Underground / 1414 Cornwell,,,,,,
USA,Bennington,Bennington College,,,,,,
USA,Bethesda,BCC High School,,,,,,
USA,Binghamton,S.U.N.Y. Binghamton,,,,,,
USA,Bozeman,Sundance Saloon,,,,,,
USA,Bryan,Stafford Opera House,,,,,,
USA,Cambridge,First Congregational Church,,,,,,
USA,Carbondale,Southern Illinois University,,,,,,
USA,Carlisle,Dickinson College,,,,,,
USA,Chapel Hill,Cat's Cradle,,,,,,
USA,Charleston,Common Grounds,,,,,,
USA,Charlottesville,Trax,,,,,,
USA,Cincinnati,Bogart's,,,,,,
USA,Clinton,St. John's Gym,,,,,,
USA,College Park,University of Maryland Ritchie Coliseum,,,,,,
USA,Colorado Springs,Colorado Music Hall,,,,,,
