"","songid","song","available","played","intensity"
"1",2,"reclamation",7966,594,0.0745669093648004
"2",42,"break",2404,170,0.0707154742096506
"3",18,"bed for the scraping",4573,299,0.0653837743275749
"4",71,"cashout",919,59,0.0642002176278564
"5",24,"do you like me",4564,272,0.0595968448729185
"6",44,"closed captioned",2692,158,0.0586924219910847
"7",1,"waiting room",12492,628,0.0502721741914825
"8",64,"number 5",2232,109,0.0488351254480287
"9",3,"blueprint",12159,585,0.0481125092524056
"10",56,"place position",2817,133,0.0472133475328364
"11",29,"target",5622,261,0.0464247598719317
"12",49,"recap modotti",3078,141,0.0458089668615984
"13",5,"merchandise",10826,474,0.0437834842046924
"14",46,"arpeggiator",3830,154,0.0402088772845953
"15",14,"rend it",8667,347,0.0400369216568594
"16",7,"sieve-fisted find",10916,417,0.0382008061561011
"17",4,"long division",13139,497,0.0378263185935003
"18",77,"the kill",940,35,0.0372340425531915
"19",70,"argument",1778,66,0.0371203599550056
"20",19,"facet squared",8319,298,0.0358216131746604
"21",37,"birthday pony",5664,200,0.0353107344632768
"22",68,"oh",2212,78,0.0352622061482821
"23",6,"margin walker",12894,426,0.0330386226151698
"24",28,"public witness program",7940,262,0.0329974811083123
"25",9,"turnover",11949,392,0.0328060925600469
"26",11,"and the same",11747,374,0.0318379160636758
"27",59,"fd",3786,115,0.0303750660327522
"28",73,"ex-spectator",1561,46,0.0294682895579757
"29",30,"smallpox champion",8690,251,0.0288837744533947
"30",36,"forensic scene",6983,201,0.0287841901761421
"31",32,"by you",8121,232,0.0285679103558675
"32",25,"instrument",10049,271,0.0269678574982585
"33",8,"repeater",15152,408,0.0269271383315734
"34",87,"life and limb",743,20,0.0269179004037685
"35",63,"five corporations",4094,110,0.0268685881778212
"36",26,"great cop",10280,268,0.0260700389105058
"37",12,"two beats off",14318,369,0.0257717558318201
"38",65,"floating boy",4190,107,0.0255369928400955
"39",10,"promises",14725,376,0.02553480475382
"40",85,"full disclosure",949,24,0.0252897787144362
"41",13,"give me the cure",14562,365,0.0250652382914435
"42",82,"epic problem",1209,30,0.0248138957816377
"43",20,"styrofoam",12034,288,0.0239321921223201
"44",75,"nightshop",1880,43,0.0228723404255319
"45",15,"suggestion",14953,338,0.0226041597003946
"46",22,"exit only",12477,275,0.0220405546205017
"47",17,"song #1",14466,318,0.021982579842389
"48",31,"sweet and low",11490,247,0.021496953872933
"49",16,"shut the door",15108,321,0.0212470214455917
"50",52,"back to base",6751,135,0.0199970374759295
"51",67,"no surprise",4521,89,0.0196859101968591
"52",27,"runaway return",14144,264,0.0186651583710407
"53",21,"bad mouth",14816,276,0.0186285097192225
"54",23,"reprovisional",16087,275,0.0170945483931124
"55",88,"strangelight",1136,19,0.0167253521126761
"56",62,"downed city",7152,111,0.0155201342281879
"57",50,"walken's syndrome",9126,141,0.0154503616042078
"58",41,"cassavetes",11080,171,0.0154332129963899
"59",54,"fell, destroyed",8848,134,0.0151446654611212
"60",33,"bulldog front",15052,223,0.0148153069359554
"61",39,"latin roots",12339,181,0.0146689358943188
"62",61,"long distance runner",7743,112,0.0144646777734728
"63",34,"burning",15198,212,0.0139492038426109
"64",35,"burning too",15293,212,0.0138625514941476
"65",55,"returning the screw",9917,134,0.0135121508520722
"66",38,"greed",14071,187,0.0132897448653258
"67",69,"pink frosty",5267,67,0.0127207138788684
"68",47,"stacks",12239,153,0.0125010213252717
"69",48,"dear justice letter",12319,148,0.0120139621722542
"70",51,"last chance for a slow dance",12121,137,0.0113026977972115
"71",45,"brendan #1",14495,156,0.010762331838565
"72",40,"kyeo",16614,173,0.010412904779102
"73",43,"lockdown",15784,162,0.0102635580334516
"74",72,"caustic acrostic",5027,51,0.0101452158344937
"75",60,"nice new outfit",12442,114,0.00916251406526282
"76",79,"foreman's dog",3625,33,0.00910344827586207
"77",58,"joe #1",15414,130,0.00843389126767873
"78",53,"break-in",16346,134,0.00819772421387495
"79",57,"glueman",17061,132,0.00773694390715667
"80",80,"guilford fall",4758,32,0.00672551492223623
"81",66,"furniture",16339,93,0.00569190280922945
"82",76,"latest disgrace",7776,39,0.00501543209876543
"83",78,"version",8185,34,0.00415394013439218
"84",74,"steady diet",12964,46,0.00354828756556618
"85",86,"combination lock",7934,21,0.0026468364003025
"86",83,"23 beats off",10692,26,0.00243172465394688
"87",92,"hello morning",975,2,0.00205128205128205
"88",81,"the word",17221,32,0.00185819638813077
"89",84,"in defense of humans",17189,25,0.00145441852347431
"90",89,"turn off your guns",17224,15,0.000870877844867627
"91",90,"provisional",16866,8,0.000474327048499941
"92",91,"polish",13892,6,0.000431903253671178
