"","songid","song","Estimate","z-value"
"1",18,"bed for the scraping",0.470973925638215,4.04046326578908
"2",2,"reclamation",0.451910234424875,6.78581394180087
"3",42,"break",0.449829029861473,3.1292515359909
"4",24,"do you like me",0.295380615992121,2.50109043375846
"5",44,"closed captioned",0.182295676637974,1.19987099562757
"6",71,"cashout",0.13531389834295,0.649927235500283
"7",56,"place position",0.0751984266594738,0.505920956584957
"8",29,"target",0.0166005108785461,0.14452095402196
"9",1,"waiting room",0,NA
"10",49,"recap modotti",-0.00839548998296261,-0.0550383205233904
"11",64,"number 5",-0.123949107246932,-0.714583807819414
"12",3,"blueprint",-0.125174635299716,-1.91808854813594
"13",7,"sieve-fisted find",-0.178746685041704,-2.65477840672611
"14",5,"merchandise",-0.192889658586661,-3.08886532218103
"15",14,"rend it",-0.205867234220651,-2.37912688208487
"16",46,"arpeggiator",-0.264845484865566,-1.75244353525158
"17",37,"birthday pony",-0.346663610520393,-2.88329799156938
"18",19,"facet squared",-0.365042046569022,-4.23182714408442
"19",6,"margin walker",-0.374794856828321,-5.75413914919371
"20",9,"turnover",-0.399947721991512,-5.84621446012611
"21",70,"argument",-0.43042171812785,-2.21555825818447
"22",4,"long division",-0.44071716035793,-6.85471317989916
"23",77,"the kill",-0.441968890645532,-1.86034016851356
"24",28,"public witness program",-0.450853953407007,-4.49909413078147
"25",68,"oh",-0.480289233078068,-2.60349316508676
"26",59,"fd",-0.52422601865523,-3.32148947187643
"27",36,"forensic scene",-0.534158668920667,-4.44718734050504
"28",32,"by you",-0.568476878376823,-5.4791094526703
"29",63,"five corporations",-0.57364706146162,-3.72840306605788
"30",30,"smallpox champion",-0.578718731191726,-5.83797397496944
"31",11,"and the same",-0.583421924964643,-8.70111253362779
"32",65,"floating boy",-0.597424478224279,-3.84510260115462
"33",25,"instrument",-0.642355661722679,-7.04633431552379
"34",26,"great cop",-0.72904877450004,-7.99237303046454
"35",73,"ex-spectator",-0.736811509472025,-3.49515432076791
"36",17,"song #1",-0.759110029160095,-10.8492139108967
"37",87,"life and limb",-0.763788647603434,-2.72226386710432
"38",12,"two beats off",-0.764662274655421,-10.9757880849547
"39",13,"give me the cure",-0.764784844249503,-11.3532389518606
"40",85,"full disclosure",-0.811691864229825,-3.07692247370842
"41",8,"repeater",-0.815088345924844,-11.8079080042743
"42",20,"styrofoam",-0.861214082356063,-10.898586861923
"43",82,"epic problem",-0.865630692526001,-3.5490313135489
"44",15,"suggestion",-0.870991857171015,-12.6678731015787
"45",67,"no surprise",-0.882921189480109,-5.48802688572228
"46",10,"promises",-0.890986740619362,-13.0836940525763
"47",52,"back to base",-0.951309712879671,-7.13118741950491
"48",22,"exit only",-0.966907950471357,-11.882805891789
"49",21,"bad mouth",-0.968020281131688,-13.1975500950446
"50",16,"shut the door",-0.98160755994204,-13.5778818431781
"51",75,"nightshop",-0.998477896409996,-4.65256432926737
"52",31,"sweet and low",-1.00719643166442,-10.5574363729193
"53",27,"runaway return",-1.13358034168081,-14.2190596391688
"54",62,"downed city",-1.23316499262777,-8.86822055686452
"55",33,"bulldog front",-1.2543172965205,-15.7345413414652
"56",50,"walken's syndrome",-1.25432249762726,-11.0293314425341
"57",23,"reprovisional",-1.26251807383632,-16.7248026816163
"58",54,"fell, destroyed",-1.27524547335763,-10.5549228500604
"59",88,"strangelight",-1.29012686839508,-4.54820136698059
"60",61,"long distance runner",-1.30525924409437,-9.4015417193739
"61",41,"cassavetes",-1.31959035572097,-13.2410032411235
"62",35,"burning too",-1.33226746439245,-16.3840830030636
"63",69,"pink frosty",-1.34276988820184,-8.00213002014701
"64",34,"burning",-1.35003349774768,-16.7496841780877
"65",55,"returning the screw",-1.36017194541973,-11.8058759170047
"66",39,"latin roots",-1.38464683966659,-14.8524820137906
"67",38,"greed",-1.42229073505364,-16.44486233364
"68",48,"dear justice letter",-1.53200067683781,-15.2068395112639
"69",47,"stacks",-1.56845209117822,-15.7006586785174
"70",72,"caustic acrostic",-1.57446391623387,-8.7156993239818
"71",51,"last chance for a slow dance",-1.6327369907742,-15.3178705767245
"72",43,"lockdown",-1.68837105561583,-18.9386305036096
"73",45,"brendan #1",-1.68989419412058,-18.2747326423482
"74",40,"kyeo",-1.73229151699917,-19.9433612246632
"75",60,"nice new outfit",-1.84151569329435,-16.6664318434374
"76",79,"foreman's dog",-1.87534872791816,-8.42977521821282
"77",53,"break-in",-1.92322533488366,-20.0630910663536
"78",58,"joe #1",-1.96819659943948,-20.1699012169064
"79",80,"guilford fall",-1.99987312763348,-9.34936994391398
"80",57,"glueman",-2.05045328418726,-21.1534182165166
"81",66,"furniture",-2.28178165559051,-20.4172053355304
"82",76,"latest disgrace",-2.36505260938103,-12.4642844331523
"83",78,"version",-2.59653630400184,-13.1636145170838
"84",74,"steady diet",-2.79306875278961,-17.5549397033692
"85",86,"combination lock",-3.02885264287019,-12.5784333748055
"86",83,"23 beats off",-3.14105329676456,-14.92464681879
"87",92,"hello morning",-3.40899722399365,-4.69038424940595
"88",81,"the word",-3.53555553630986,-18.8557510909449
"89",84,"in defense of humans",-3.69637527896999,-18.0892332059473
"90",89,"turn off your guns",-4.2156605804773,-16.1182861491765
"91",90,"provisional",-4.90830219008574,-13.7712716728889
"92",91,"polish",-4.94122971835103,-11.9793401327378
