"gid","fls_id","show_date","venue","door_price","attendance","recorded_by","mastered_by","original_source","sound_quality","played_with","fls_notes","tour","city","subdivision","country","track_1","track_2","track_3","track_4","track_5","track_6","track_7","track_8","track_9","track_10","track_11","track_12","track_13","track_14","track_15","track_16","track_17","track_18","track_19","track_20","track_21","track_22","track_23","track_24","track_25","track_26","track_27","track_28","track_29","track_30","track_31","track_32","track_33","track_34","track_35","track_36","track_37","track_38","track_39","track_40"
"washington-dc-usa-90387","FLS0001","03/09/1987","Wilson Center","$5",300,"Joey Picuri","Fugazi","Cassette","Good","Marginal Man, Ignition, Fire Party","This is Fugazi's first show, played as a three piece. The show was a benefit for State of the Union Compilation. Previously released on CD (FLS01)","1987 Fall/Winter Regional Dates","Washington","DC","USA","Joe #1","Intro","Song #1","Furniture","Merchandise","Turn Off Your Guns","In Defense Of Humans","Waiting Room","The Word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"washington-dc-usa-92687","FLS0002","26/09/1987","St. Stephen's Church Cafeteria","$5",200,"Joey Picuri","Jerry Busher","Cassette","Very Good","Sarcastic Orgasm, Darkness at Noon, Swiz","This show was a benefit for a Gay Rights March.","1987 Fall/Winter Regional Dates","Washington","DC","USA","Intro","Turn Off Your Guns","Interlude 1","Song #1","Interlude 2","In Defense of Humans","Furniture","Interlude 3","Waiting Room","Merchandise","Interlude 4","And The Same","The Word","Outro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"chapel-hill-nc-usa-92787","FLS0003","27/09/1987","Cat's Cradle","$5",50,NA,NA,NA,NA,"Slush Puppies, Days Of",NA,"1987 Fall/Winter Regional Dates","Chapel Hill","NC","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"richmond-va-usa-100787","FLS0004","07/10/1987","New Horizons","$5",50,"Unknown","Warren Russell-Smith","Cassette","Very Good","Oi Polloi, Killjoy",NA,"1987 Fall/Winter Regional Dates","Richmond","VA","USA","And The Same Instrumental","Song #1","Furniture","Interlude 1","In Defense of Humans","Interlude 2","Turn Off Your Guns","Interlude 3","KYEO","Interlude 4","Waiting Room","Interlude 5","Merchandise","Interlude 6","Joe #1","The Word","Outro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"washington-dc-usa-101687","FLS0005","16/10/1987","dc space","$5",100,"Joey Picuri","Jerry Busher","Cassette","Good","Kingface","This show features Guy's first time on lead vocals (performing ""Break-In"").","1987 Fall/Winter Regional Dates","Washington","DC","USA","Opening Remarks","Joe #1","Interlude 1","Merchandise","Furniture","Interlude 2","Song #1","Interlude 3","Bad Mouth","Interlude 4","And The Same","Interlude 5","Break-In","Waiting Room","The Word","Outro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"frederick-md-usa-112587","FLS0006","25/11/1987","Weinberg Center",NA,NA,"Joey Picuri","Warren Russell-Smith","Cassette","Good","Three, Soulside, Second Nature","Benefit for Heartly House","1987 Fall/Winter Regional Dates","Frederick","MD","USA","Intro","Joe #1","Song #1","Interlude 1","Bad Mouth","Interlude 2","Merchandise","Furniture","Interlude 3","Turn Off Your Guns","And The Same","Interlude 4","Break-In","Interlude 5","Waiting Room","Encore","The Word","Outro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"bethesda-md-usa-120287","FLS0007","02/12/1987","BCC High School",NA,10,NA,NA,NA,NA,NA,"Interview and performance for AV Club (tapes lost)","1987 Fall/Winter Regional Dates","Bethesda","MD","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"washington-dc-usa-120387","FLS0008","03/12/1987","Wilson Center","$5",300,"ANON","Warren Russell-Smith","Cassette","Good","Soulside, The Hated, Thorns","Benefit for the Community for Creative Non-Violence (CCNV)","1987 Fall/Winter Regional Dates","Washington","DC","USA","Intro","Lockdown Instrumental","Suggestion Instrumental","Opening Remarks","KYEO","The Word","Interlude 1","Song #1","Interlude 2","And The Same","Merchandise","Interlude 3","Furniture","Interlude 4","Break-In","Bad Mouth","Interlude 5","In Defense of Humans","Turn Off Your Guns","Waiting Room","Outro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"middletown-ct-usa-120487","FLS0009","04/12/1987","Wesleyan University Eclectic House","$5",100,NA,NA,NA,NA,"Soulside",NA,"1987 Fall/Winter Regional Dates","Middletown","CT","USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"norwalk-ct-usa-120587","FLS0010","05/12/1987","Anthrax","$5",100,"ANON","Warren Russell-Smith","Cassette","Good","Soulside, American Standard","Lock Dug is an impromptu jam mixing the riff that would become Lockdown with Beefeater's Dug Birdzell improvising on the microphone.","1987 Fall/Winter Regional Dates","Norwalk","CT","USA","Intro","And The Same","Merchandise","Interlude 1","Furniture","Turn Off Your Guns","Interlude 2","Song #1","Interlude 3","Bad Mouth","Interlude 4","Waiting Room","Break-In","Lock Dug","Interlude 5","The Word",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
