track; artist; album; name; duration
01; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Joe #1; 1:22
02; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Intro; 0:56
03; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Song #1; 2:46
04; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Furniture; 6:32
05; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Merchandise; 3:10
06; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Turn Off Your Guns; 4:56
07; Fugazi; 19870903 Wilson Center, Washington, DC, USA; In Defense Of Humans; 3:25
08; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Waiting Room; 3:52
09; Fugazi; 19870903 Wilson Center, Washington, DC, USA; Word; 4:59
01; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Intro; 2:37
02; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Turn Off Your Guns; 4:08
03; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Interlude 1; 0:29
04; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Song #1; 2:55
05; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Interlude 2; 0:57
06; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; In Defense of Humans; 2:50
07; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Furniture; 4:23
08; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Interlude 3; 0:54
09; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Waiting Room; 3:29
10; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Merchandise; 3:31
11; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Interlude 4; 1:22
12; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; And The Same; 4:01
13; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; The Word; 4:42
14; Fugazi; 19870926 St. Stephen's Church Cafeteria, Washington, DC, USA; Outro; 0:20
01; Fugazi; 19871007 New Horizons, Richmond, VA, USA; And The Same Instrumental; 2:19
02; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Song #1; 2:55
03; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Furniture; 4:13
04; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Interlude 1; 0:19
05; Fugazi; 19871007 New Horizons, Richmond, VA, USA; In Defense of Humans; 2:53
06; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Interlude 2; 0:25
07; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Turn Off Your Guns; 3:53
08; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Interlude 3; 1:15
09; Fugazi; 19871007 New Horizons, Richmond, VA, USA; KYEO; 3:32
10; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Interlude 4; 0:36
11; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Waiting Room; 4:02
12; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Interlude 5; 3:23
13; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Merchandise; 3:11
14; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Interlude 6; 0:39
15; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Joe #1; 3:34
16; Fugazi; 19871007 New Horizons, Richmond, VA, USA; The Word; 6:29
17; Fugazi; 19871007 New Horizons, Richmond, VA, USA; Outro; 2:28
01; Fugazi; 19871016 dc space, Washington, DC, USA; Opening Remarks; 1:29
02; Fugazi; 19871016 dc space, Washington, DC, USA; Joe #1; 3:28
03; Fugazi; 19871016 dc space, Washington, DC, USA; Interlude 1; 0:27
04; Fugazi; 19871016 dc space, Washington, DC, USA; Merchandise; 1:50
05; Fugazi; 19871016 dc space, Washington, DC, USA; Furniture; 4:15
06; Fugazi; 19871016 dc space, Washington, DC, USA; Interlude 2; 0:54
07; Fugazi; 19871016 dc space, Washington, DC, USA; Song #1; 3:08
08; Fugazi; 19871016 dc space, Washington, DC, USA; Interlude 3; 0:42
09; Fugazi; 19871016 dc space, Washington, DC, USA; Bad Mouth; 2:51
10; Fugazi; 19871016 dc space, Washington, DC, USA; Interlude 4; 0:32
11; Fugazi; 19871016 dc space, Washington, DC, USA; And The Same; 4:59
12; Fugazi; 19871016 dc space, Washington, DC, USA; Interlude 5; 0:21
13; Fugazi; 19871016 dc space, Washington, DC, USA; Break-In; 1:48
14; Fugazi; 19871016 dc space, Washington, DC, USA; Waiting Room; 3:29
15; Fugazi; 19871016 dc space, Washington, DC, USA; The Word; 6:03
16; Fugazi; 19871016 dc space, Washington, DC, USA; Outro; 0:53
01; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Intro; 2:01
02; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Joe #1; 3:03
03; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Song #1; 2:50
04; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Interlude 1; 0:19
05; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Bad Mouth; 2:38
06; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Interlude 2; 1:40
07; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Merchandise; 2:56
08; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Furniture; 3:59
09; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Interlude 3; 0:16
10; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Turn Off Your Guns; 4:04
11; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; And The Same; 5:00
12; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Interlude 4; 0:30
13; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Break-In; 1:39
14; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Interlude 5; 1:34
15; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Waiting Room; 3:26
16; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Encore; 1:38
17; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; The Word; 5:19
18; Fugazi; 19871125 Weinberg Center, Frederick, MD, USA; Outro; 0:37
01; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Intro; 0:30
02; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Lockdown Instrumental; 2:49
03; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Suggestion Instrumental; 2:27
04; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Opening Remarks; 2:21
05; Fugazi; 19871203 Wilson Center, Washington, DC, USA; KYEO; 4:02
06; Fugazi; 19871203 Wilson Center, Washington, DC, USA; The Word; 5:34
07; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Interlude 1; 1:07
08; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Song #1; 2:54
09; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Interlude 2; 1:06
10; Fugazi; 19871203 Wilson Center, Washington, DC, USA; And The Same; 4:42
11; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Merchandise; 3:26
12; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Interlude 3; 1:26
13; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Furniture; 4:10
14; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Interlude 4; 1:40
15; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Break-In; 1:44
16; Fugazi; 19871203 Wilson Center, Washington, DC, USA; Bad Mouth; 2:47
