country,city,venue,googlemaps_search_text,googlemaps_hyperlink,find1,find2,find3,link_y,link_x,test_coordinates,city_disambiguation,guess,unknown
USA,Washington,9:30 Club,"9:30 Club, Washington, USA","https://www.google.com/maps/place/9:30+Club,+815+V+St+NW,+Washington,+DC+20001,+United+States/@38.917948,-77.0237227,17z/data=!4m14!1m7!3m6!1s0x89b7b7e4e14bfd17:0x857bea566bae220d!2s815+V+St+NW,+Washington,+DC+20001,+USA!8m2!3d38.9180858!4d-77.023652!16s%2Fg%2F11bw410j86!3m5!1s0x89b7b7e4e228e9c5:0x3161fd12357c29b8!8m2!3d38.917948!4d-77.0237227!16zL20vMDNqZ3dw",95,105,117,38.917948,-77.0237227,"38.917948, -77.0237227",,0,0
USA,Washington,All Souls Church Pierce Hall,"All Souls Church Pierce Hall, Washington, USA","https://www.google.com/maps/place/All+Souls+Church+Unitarian/@38.9260015,-77.0380262,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b7df9b9e718f:0x79e5b4e3bc5b7d37!8m2!3d38.9260015!4d-77.0358375",62,73,85,38.9260015,-77.0380262,"38.9260015, -77.0380262",,0,0
USA,Washington,Black Cat,"Black Cat, Washington, USA","https://www.google.com/maps/place/Black+Cat/@38.9145825,-77.033917,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b7e8475b9d73:0xadcd7377f9e90e36!8m2!3d38.9145827!4d-77.0317256",45,56,67,38.9145825,-77.033917,"38.9145825, -77.033917",,0,0
USA,Washington,Citadel Center,"Citadel Center, Washington, USA","https://www.google.com/maps/place/1631+Kalorama+Rd+NW,+Washington,+DC+20009,+USA/@38.9219769,-77.0383073,19.86z/data=!4m5!3m4!1s0x89b7b7dc05cd7957:0x94c9fba211da0b38!8m2!3d38.922001!4d-77.038043",82,93,105,38.9219769,-77.0383073,"38.9219769, -77.0383073",,0,0
USA,Washington,dc space,"dc space, Washington, USA","https://www.google.com/maps/@38.8961678,-77.0217578,3a,40.3y,174.73h,93.37t/data=!3m7!1e1!3m5!1syYLHCudMirKlzWsBf9LYqQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fpanoid%3DyYLHCudMirKlzWsBf9LYqQ%26cb_client%3Dmaps_sv.tactile.gps%26w%3D203%26h%3D100%26yaw%3D203.73732%26pitch%3D0%26thumbfov%3D100!7i16384!8i8192",29,40,52,38.8961678,-77.0217578,"38.8961678, -77.0217578",,0,0
USA,Washington,Dupont Circle,"Dupont Circle, Washington, USA","https://www.google.com/maps/place/Rear+Admiral+Samuel+Francis+Dupont+Memorial/@38.9096631,-77.0436868,19.69z/data=!4m13!1m7!3m6!1s0x89b7b7c5d741b8af:0x2ebd3e79025f91b2!2sDupont+Circle,+Washington,+DC,+USA!3b1!8m2!3d38.9096936!4d-77.043339!3m4!1s0x89b7b7c60d1f94e3:0x7d356e6d0b788049!8m2!3d38.9096441!4d-77.0434399",79,90,102,38.9096631,-77.0436868,"38.9096631, -77.0436868",,0,0
USA,Washington,First Baptist Church,"First Baptist Church, Washington, USA","https://www.google.com/maps/place/The+First+Baptist+Church+of+the+City+of+Washington,+D.C./@38.9084722,-77.0393984,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7b7b545910b73:0xdc90203709cc7fa2!8m2!3d38.9084722!4d-77.0372097",92,103,115,38.9084722,-77.0393984,"38.9084722, -77.0393984",,0,0
USA,Washington,Fort Reno,"Fort Reno, Washington, USA","https://www.google.com/maps/place/Fort+Reno+concert+stage/@38.9512105,-77.0773621,18.82z/data=!4m12!1m6!3m5!1s0x89b7c9c09c170113:0xceb26f8e483bb15c!2sFort+Reno+Park!8m2!3d38.9514915!4d-77.0771776!3m4!1s0x89b7c9c07da61e93:0x9986818947565b48!8m2!3d38.9512047!4d-77.0767908",59,70,82,38.9512105,-77.0773621,"38.9512105, -77.0773621",,0,0
USA,Washington,Freedom Plaza,"Freedom Plaza, Washington, USA","https://www.google.com/maps/place/Freedom+Plaza/@38.8965025,-77.0301014,20.08z/data=!4m5!3m4!1s0x89b7b729351fc803:0x4a46ed8fcbea12da!8m2!3d38.8965205!4d-77.0299092",49,60,72,38.8965025,-77.0301014,"38.8965025, -77.0301014",,0,0
USA,Washington,Lafayette Park,"Lafayette Park, Washington, USA","https://www.google.com/maps/place/Lafayette+Square/@38.8995761,-77.037102,18.3z/data=!4m5!3m4!1s0x89b7b7bc4c549b49:0x235ff1d167c8d338!8m2!3d38.8995369!4d-77.0365489",52,63,74,38.8995761,-77.037102,"38.8995761, -77.037102",,0,0
USA,Washington,Malcolm X Park,"Malcolm X Park, Washington, USA","https://www.google.com/maps/place/Meridian+Hill+Park/@38.9210916,-77.036072,19.52z/data=!4m5!3m4!1s0x89b7b7ddd02c95d9:0x668551deadd9469f!8m2!3d38.9210639!4d-77.0358109",54,65,76,38.9210916,-77.036072,"38.9210916, -77.036072",,0,0
USA,Washington,Pirate House / Brendan's Going Away Party,"Pirate House / Brendan's Going Away Party, Washington, USA","https://www.google.com/maps/place/3204+17th+St+NW,+Washington,+DC+20010,+USA/@38.931732,-77.0387721,18z/data=!4m6!3m5!1s0x89b7c8215321d741:0xca1e8adc30c11891!8m2!3d38.9318216!4d-77.039085!16s%2Fg%2F11c2cj4hqr",78,88,100,38.931732,-77.0387721,"38.931732, -77.0387721",,0,0
USA,Washington,Sacred Heart Church Hall,"Sacred Heart Church Hall, Washington, USA","https://www.google.com/maps/place/Shrine+of+the+Sacred+Heart/@38.9310756,-77.036296,19.86z/data=!4m5!3m4!1s0x89b7c818ae33b2a5:0xbab3e6292687f491!8m2!3d38.9311635!4d-77.0359619",62,73,84,38.9310756,-77.036296,"38.9310756, -77.036296",,0,0
USA,Washington,Sanctuary Theater,"Sanctuary Theater, Washington, USA","https://www.google.com/maps/place/1459+Columbia+Rd+NW,+Washington,+DC+20009,+USA/@38.9276969,-77.0345982,17z/data=!3m1!4b1!4m5!3m4!1s0x89b7c8201415c7f9:0xdf2bf443ce3deb4!8m2!3d38.9276969!4d-77.0345982",82,93,105,38.9276969,-77.0345982,"38.9276969, -77.0345982",,0,0
USA,Washington,Smithsonian Folklife Festival / National Mall,"Smithsonian Folklife Festival / National Mall, Washington, USA","https://www.google.com/maps/place/38%C2%B053'22.4%22N+77%C2%B001'36.7%22W/@38.8895556,-77.0268611,17z/data=!4m4!3m3!8m2!3d38.8895556!4d-77.0268611",75,86,98,38.8895556,-77.0268611,"38.8895556, -77.0268611",,0,0
USA,Washington,St. Augustine's Church Hall,"St. Augustine's Church Hall, Washington, USA","https://www.google.com/maps/search/St.+Augustine's+Church+Hall,+Washington,+USA/@38.9183004,-77.0343509,20z",81,92,104,38.9183004,-77.0343509,"38.9183004, -77.0343509",,0,0
USA,Washington,St. Stephen's Church Cafeteria,"St. Stephen's Church Cafeteria, Washington, USA","https://www.google.com/maps/place/1525+Newton+St+NW,+Washington,+DC+20010,+USA/@38.933469,-77.0357597,19z/data=!4m6!3m5!1s0x89b7c8224927009d:0x81d5a5e74a3efa3d!8m2!3d38.9334824!4d-77.0357195!16s%2Fg%2F11c2hrcjkj",80,90,102,38.933469,-77.0357597,"38.933469, -77.0357597",,0,0
USA,Washington,St. Stephen's Church Hall,"St. Stephen's Church Hall, Washington, USA","https://www.google.com/maps/place/1525+Newton+St+NW,+Washington,+DC+20010,+USA/@38.933469,-77.0357597,19z/data=!4m6!3m5!1s0x89b7c8224927009d:0x81d5a5e74a3efa3d!8m2!3d38.9334824!4d-77.0357195!16s%2Fg%2F11c2hrcjkj",80,90,102,38.933469,-77.0357597,"38.933469, -77.0357597",,0,0
USA,Washington,Sylvan Theater,"Sylvan Theater, Washington, USA","https://www.google.com/maps/place/Sylvan+Theater/@38.8883593,-77.034624,20.91z/data=!4m5!3m4!1s0x89b7b7a1bdf6bffb:0x84a633068b5dc4ff!8m2!3d38.8883575!4d-77.0345214",50,61,72,38.8883593,-77.034624,"38.8883593, -77.034624",,0,0
USA,Washington,US Capitol Plaza Supreme Court,"US Capitol Plaza Supreme Court, Washington, USA","https://www.google.com/maps/place/Supreme+Court+of+the+United+States/@38.8905705,-77.0069332,19z/data=!4m5!3m4!1s0x89b7b828d32c69bb:0xffb704728ee19592!8m2!3d38.8906396!4d-77.0050676",70,81,93,38.8905705,-77.0069332,"38.8905705, -77.0069332",,0,0
USA,Washington,Wilson Center,"Wilson Center, Washington, USA","https://www.google.com/maps/place/The+Wilson+Center/@38.8934297,-77.030587,19.6z/data=!4m5!3m4!1s0x89b7b79762f518d1:0x3e73088a9489b574!8m2!3d38.8934586!4d-77.0303701",53,64,75,38.8934297,-77.030587,"38.8934297, -77.030587",,0,0
USA,New York,Barnard College Cafeteria,"Barnard College Cafeteria, New York, USA","https://www.google.com/maps/search/Barnard+College+Cafeteria,+New+York,+USA/@40.8095145,-73.963595,17z",77,88,99,40.8095145,-73.963595,"40.8095145, -73.963595",,0,0
USA,New York,Columbia University,"Columbia University, New York, USA","https://www.google.com/maps/place/Columbia+University,+New+York,+NY+10027,+United+States/@40.8075355,-73.9625727,17z/data=!4m6!3m5!1s0x89c2f63e96d30dc9:0x577933f947e52750!8m2!3d40.8075355!4d-73.9625727!16zL20vMDF3NW0",90,101,113,40.8075355,-73.9625727,"40.8075355, -73.9625727",,0,0
USA,New York,Irving Plaza,"Irving Plaza, New York, USA","https://www.google.com/maps/place/Irving+Plaza,+17+Irving+Pl,+New+York,+NY+10003,+United+States/@40.7348818,-73.9884409,19z/data=!4m12!1m5!3m4!2s40.734812,+-73.988208!8m2!3d40.7348117!4d-73.9882075!3m5!1s0x89c2599f49ef3ae9:0xfef9fa6b6a342ec2!8m2!3d40.734929!4d-73.988448!16zL20vMGM1aHZw",97,108,120,40.7348818,-73.9884409,"40.7348818, -73.9884409",,0,0
USA,New York,Marquee,"Marquee, New York, USA","https://www.google.com/maps/place/Marquee+New+York,+289+10th+Ave,+New+York,+NY+10001,+United+States/@40.7500995,-74.0028054,17z/data=!4m6!3m5!1s0x89c259b71ae50907:0x47ebbcc9a4b5fea5!8m2!3d40.7500995!4d-74.0028054!16s%2Fg%2F12xq_n9qd",101,112,124,40.7500995,-74.0028054,"40.7500995, -74.0028054",,0,0
