country,city,venue,googlemaps_hyperlink,find1,find2,find3,y,x,test_coordinates
Argentina,Buenos Aires,Superclub,"https://www.google.com/maps/place/Sarmiento+777,+C1041+San+Nicolas,+Buenos+Aires,+Argentina/@-34.6046453,-58.3776277,15z/data=!4m6!3m5!1s0x95bccace76edadc5:0x5d43705417b3a46!8m2!3d-34.6046453!4d-58.3776277!16s%2Fg%2F11c2gwhkp7?gl=cl",93,105,117,-34.6046453,-58.3776277,"-34.6046453, -58.3776277"
Australia,Adelaide,Adelaide University,"https://www.google.com/maps/?q=-34.9184709,138.6034224",31,43,54,-34.9184709,138.603422,"-34.9184709, 138.603422"
Australia,Adelaide,Dom Polski Hall,"https://www.google.com/maps/?q=-34.9292695,138.6094706",31,43,54,-34.9292695,138.609470,"-34.9292695, 138.609470"
Australia,Adelaide,Le Rox Hotel,"https://www.google.com/maps/?q=-34.9239321,138.5929121",31,43,54,-34.9239321,138.592912,"-34.9239321, 138.592912"
Australia,Ballarat,Old YMCA,"https://www.google.com/maps/?q=-37.5640498,143.8690385",31,43,54,-37.5640498,143.869038,"-37.5640498, 143.869038"
Australia,Brisbane,Boulder Gallery,"https://www.google.com/maps/?q=-27.4566899,153.0341964",31,43,54,-27.4566899,153.034196,"-27.4566899, 153.034196"
Australia,Brisbane,Funkyard,"https://www.google.com/maps/?q=-27.4707153,153.0247895",31,43,54,-27.4707153,153.024789,"-27.4707153, 153.024789"
Australia,Brisbane,Roxy,"https://www.google.com/maps/?q=-27.4562853,153.0325336",31,43,54,-27.4562853,153.032533,"-27.4562853, 153.032533"
Australia,Byron Bay,Arts Factory,"https://www.google.com/maps/?q=-28.6451528,153.6052332",31,43,54,-28.6451528,153.605233,"-28.6451528, 153.605233"
Australia,Canberra,A.N.U. Bar,"https://www.google.com/maps/?q=-35.2761578,149.1253788",31,43,54,-35.2761578,149.125378,"-35.2761578, 149.125378"
Australia,Canberra,Anu Bar,"https://www.google.com/maps/?q=-35.2761578,149.1253788",31,43,54,-35.2761578,149.125378,"-35.2761578, 149.125378"
Australia,Canberra,Youth Cafe,"https://www.google.com/maps/?q=-35.2758905,149.1301828",31,43,54,-35.2758905,149.130182,"-35.2758905, 149.130182"
Australia,Croydon (Australia),EV's,"https://www.google.com/maps/?q=-37.7994161,145.2819551",31,43,54,-37.7994161,145.281955,"-37.7994161, 145.281955"
Australia,Croydon (Australia),The Hull,"https://www.google.com/maps/?q=-37.7958944,145.2903702",31,43,54,-37.7958944,145.290370,"-37.7958944, 145.290370"
Australia,Darwin,Time Tavern,"https://www.google.com/maps/?q=-12.461839,130.841101",31,42,52,-12.461839,130.84110,"-12.461839, 130.84110"
Australia,Geelong,Courthouse,"https://www.google.com/maps/?q=-38.1475938,144.3572184",31,43,54,-38.1475938,144.357218,"-38.1475938, 144.357218"
Australia,Geelong,Ukranian Town Hall,"https://www.google.com/maps/?q=-38.135291,144.34905",31,42,51,-38.135291,144.3490,"-38.135291, 144.3490"
Australia,Gold Coast,Playroom,"https://www.google.com/maps/?q=-28.1209476,153.4725428",31,43,54,-28.1209476,153.472542,"-28.1209476, 153.472542"
Australia,Hobart,Hellenic Hall,"https://www.google.com/maps/?q=-42.8706648,147.31561",31,43,52,-42.8706648,147.3156,"-42.8706648, 147.3156"
Australia,Hobart,Sapphire Ballroom,"https://www.google.com/maps/?q=-42.8816549,147.3259452",31,43,54,-42.8816549,147.325945,"-42.8816549, 147.325945"
Australia,Launceston,Windmill Hill War Memorial,"https://www.google.com/maps/?q=-41.4352504,147.1458168",31,43,54,-41.4352504,147.145816,"-41.4352504, 147.145816"
Australia,Lismore,Italo Club,"https://www.google.com/maps/?q=-28.8042002,153.2709128",31,43,54,-28.8042002,153.270912,"-28.8042002, 153.270912"
Australia,Lismore,Lismore Uni,"https://www.google.com/maps/?q=-28.8195944,153.2995677",31,43,54,-28.8195944,153.299567,"-28.8195944, 153.299567"
Australia,Manly,Manly High School,"https://www.google.com/maps/?q=-33.7719613,151.2477862",31,43,54,-33.7719613,151.247786,"-33.7719613, 151.247786"
Australia,Manly,Manly Youth Center,"https://www.google.com/maps/?q=-33.7947489,151.2843701",31,43,54,-33.7947489,151.284370,"-33.7947489, 151.284370"
Australia,Melbourne,Collingwood Town Hall,"https://www.google.com/maps/?q=-37.8039481,144.9928449",31,43,54,-37.8039481,144.992844,"-37.8039481, 144.992844"
Australia,Melbourne,Lava Lounge,"https://www.google.com/maps/?q=-38.030862,145.345723",31,42,52,-38.030862,145.34572,"-38.030862, 145.34572"
Australia,Melbourne,Melbourne Uni,"https://www.google.com/maps/?q=-37.7968615,144.9608419",31,43,54,-37.7968615,144.960841,"-37.7968615, 144.960841"
Australia,Melbourne,Wall St.,"https://www.google.com/maps/?q=-37.8147268,144.9659968",31,43,54,-37.8147268,144.965996,"-37.8147268, 144.965996"
Australia,Newcastle (Australia),Cambridge Hotel,"https://www.google.com/maps/?q=-32.9248321,151.757708",31,43,53,-32.9248321,151.75770,"-32.9248321, 151.75770"
Australia,Newcastle (Australia),Morrow Park Bowls Club,"https://www.google.com/maps/?q=-32.9221783,151.7548386",31,43,54,-32.9221783,151.754838,"-32.9221783, 151.754838"
Australia,Perth,Club O,"https://www.google.com/maps/?q=-31.9573625,115.8683204",31,43,54,-31.9573625,115.868320,"-31.9573625, 115.868320"
Australia,Perth,Univ. of West Australia,"https://www.google.com/maps/?q=-31.9780548,115.8186516",31,43,54,-31.9780548,115.818651,"-31.9780548, 115.818651"
Australia,Sydney,Burland Centre,"https://www.google.com/maps/?q=-33.8892326,151.1948209",31,43,54,-33.8892326,151.194820,"-33.8892326, 151.194820"
Australia,Sydney,Manly Youth Center,"https://www.google.com/maps/?q=-33.7946915,151.2843235",31,43,54,-33.7946915,151.284323,"-33.7946915, 151.284323"
Australia,Sydney,Metro,"https://www.google.com/maps/?q=-33.8756118,151.2066704",31,43,54,-33.8756118,151.206670,"-33.8756118, 151.206670"
