"","songid","song","launchdate","chosen","available_rl","intensity"
"1",17,"cashout",2000-06-04,67,74,0.905405405405405
"2",20,"closed captioned",1997-06-18,169,211,0.800947867298578
"3",7,"bed for the scraping",1994-11-20,310,393,0.788804071246819
"4",61,"number 5",1998-11-21,120,157,0.764331210191083
"5",72,"reclamation",1990-05-05,612,820,0.746341463414634
"6",4,"arpeggiator",1997-05-02,163,220,0.740909090909091
"7",10,"break",1996-08-15,179,244,0.733606557377049
"8",23,"do you like me",1994-11-20,282,393,0.717557251908397
"9",96,"waiting room",1987-09-03,675,952,0.709033613445378
"10",9,"blueprint",1989-09-23,608,873,0.696449026345934
"11",71,"recap modotti",1997-05-01,151,221,0.683257918552036
"12",3,"argument",1999-08-26,76,113,0.672566371681416
"13",89,"target",1994-08-15,267,401,0.665835411471322
"14",62,"oh",1998-11-29,91,149,0.610738255033557
"15",90,"the kill",2001-04-05,37,62,0.596774193548387
"16",55,"long division",1989-04-09,523,889,0.58830146231721
"17",73,"rend it",1991-12-08,354,608,0.582236842105263
"18",64,"place position",1996-08-15,140,244,0.573770491803279
"19",29,"fd",1997-05-02,122,220,0.554545454545455
"20",57,"merchandise",1987-09-03,495,952,0.519957983193277
"21",70,"public witness program",1993-02-05,273,534,0.51123595505618
"22",52,"life and limb",2001-06-21,24,47,0.51063829787234
"23",34,"forensic scene",1994-08-19,203,399,0.508771929824561
"24",56,"margin walker",1988-07-28,467,921,0.507057546145494
"25",8,"birthday pony",1994-08-15,203,401,0.506234413965087
"26",80,"smallpox champion",1992-10-23,265,537,0.493482309124767
"27",74,"repeater",1989-07-19,427,876,0.487442922374429
"28",79,"sieve-fisted find",1989-03-24,435,894,0.486577181208054
"29",28,"facet squared",1991-08-12,307,645,0.475968992248062
"30",16,"by you",1993-04-24,236,498,0.473895582329317
"31",25,"epic problem",2000-08-07,34,72,0.472222222222222
"32",93,"turnover",1989-04-09,416,889,0.467941507311586
"33",35,"full disclosure",2001-04-05,29,62,0.467741935483871
"34",46,"instrument",1992-01-25,282,606,0.465346534653465
