"","rank_rating","songid","song","Estimate","z-value"
"1",1,10,"break",3.61434845136765,16.6113783167091
"2",2,7,"bed for the scraping",3.61284503047074,17.4334036215995
"3",3,69,"reclamation",3.59348891949013,17.6419812861756
"4",4,23,"do you like me",3.43794996598012,16.5299759746828
"5",5,20,"closed captioned",3.33226956994746,15.1041554231344
"6",6,17,"cashout",3.32032357601285,13.095821999571
"7",7,62,"place position",3.22759929695103,14.5947260476509
"8",8,92,"waiting room",3.15493527070601,14.9992163060298
"9",9,85,"target",3.15189045180157,15.1822561094709
"10",10,68,"recap modotti",3.1313462529501,14.1193499436869
"11",11,59,"number 5",3.02143754784737,13.0534055975076
"12",12,9,"blueprint",3.01427783881025,14.7714518174829
"13",13,76,"sieve-fisted find",2.96467429256434,14.2801144066725
"14",14,55,"merchandise",2.96002316794609,13.9987715257499
"15",15,70,"rend it",2.93090700536613,14.3652121001527
"16",16,4,"arpeggiator",2.87609518715437,13.0457057081041
"17",17,8,"birthday pony",2.78392229927421,13.2284664442223
"18",18,54,"margin walker",2.78164600275063,13.3283741163091
"19",19,28,"facet squared",2.78158060782052,13.529152052248
"20",20,89,"turnover",2.74895768782108,13.2266637151128
"21",21,53,"long division",2.70720298821574,13.098876530646
"22",22,67,"public witness program",2.70010069056165,13.1212258133464
"23",23,3,"argument",2.69633314076632,10.95080727094
"24",24,60,"oh",2.67970616489406,11.2099633685702
"25",25,86,"the kill",2.66310935075828,9.58107701519148
"26",26,29,"fd",2.61535875727841,11.6094531120911
"27",27,34,"forensic scene",2.60768882235942,12.4014610481961
"28",28,16,"by you",2.57928094201247,12.4571826169884
"29",29,77,"smallpox champion",2.56744986614315,12.4543170108103
"30",30,31,"five corporations",2.55912048257002,11.3916675419286
"31",31,2,"and the same",2.54903524401246,11.9782042394562
"32",32,32,"floating boy",2.53415639468825,11.2419393913981
"33",33,44,"instrument",2.50144536670936,12.1473738060654
"34",34,39,"great cop",2.41080682683601,11.7022844065949
"35",35,50,"life and limb",2.40946771594451,7.7366963055907
"36",36,78,"song #1",2.39713267365779,11.2199128612855
"37",37,90,"two beats off",2.38353178653338,11.4560636562686
"38",38,37,"give me the cure",2.38328509216487,11.2916157113024
"39",39,26,"ex-spectator",2.36701375397706,9.09121570886335
"40",40,35,"full disclosure",2.35942624853149,7.91878540504348
"41",41,71,"repeater",2.33184770566375,11.2854165376016
"42",42,25,"epic problem",2.31788525232396,8.25459260091414
"43",43,82,"styrofoam",2.27703936739784,10.9618997243594
"44",44,83,"suggestion",2.27401325114828,10.7227445129635
"45",45,58,"no surprise",2.26583438751105,9.8848896360484
"46",46,65,"promises",2.25542427241789,10.7884473084278
"47",47,5,"back to base",2.20065856399409,10.1653820637414
"48",48,6,"bad mouth",2.18920111298118,10.2232497689053
"49",49,27,"exit only",2.17368175535912,10.466598002668
"50",50,75,"shut the door",2.16791921464764,10.3591801353244
"51",51,57,"nightshop",2.16045423652909,8.26708399902719
"52",52,84,"sweet and low",2.14223805976884,10.3804824493399
"53",53,74,"runaway return",2.01363743334741,9.63843185888934
"54",54,24,"downed city",1.90481642818408,8.6507921817765
"55",55,13,"bulldog front",1.90084280455755,8.88317364237001
"56",56,30,"fell, destroyed",1.89026621368046,8.81930273694083
"57",57,93,"walken's syndrome",1.88619041140279,8.83292543579561
"58",58,72,"reprovisional",1.88133084652439,8.92306599375576
"59",59,52,"long distance runner",1.84814268421903,8.40734988153075
"60",60,81,"strangelight",1.82248772083026,5.72848254009789
"61",61,15,"burning too",1.82247951287827,8.50630678051441
"62",62,18,"cassavetes",1.82047740686091,8.61228054827365
"63",63,61,"pink frosty",1.80597385706821,7.65913985143895
"64",64,14,"burning",1.80310943583039,8.34378784210707
"65",65,73,"returning the screw",1.78114939789564,8.30752218537314
"66",66,49,"latin roots",1.76130028534229,8.31987074304466
"67",67,40,"greed",1.72792732166032,8.05378030750211
"68",68,22,"dear justice letter",1.60906824184561,7.51129774263345
"69",69,19,"caustic acrostic",1.57423220760003,6.41532526714574
"70",70,79,"stacks",1.57181709608918,7.35620336088928
"71",71,47,"last chance for a slow dance",1.49977923872764,6.98180338656021
"72",72,12,"brendan #1",1.47111528571098,6.78293662432009
"73",73,51,"lockdown",1.47022736867706,6.6973054593309
"74",74,46,"kyeo",1.40758047745164,6.40853443445422
"75",75,56,"nice new outfit",1.30989636061004,5.98996503059338
"76",76,33,"foreman's dog",1.26196151306505,4.64519712749707
"77",77,11,"break-in",1.22145832163046,5.47450330399886
"78",78,45,"joe #1",1.17468896082604,5.23577233265083
"79",79,41,"guilford fall",1.14905666902969,4.26781620138198
"80",80,38,"glueman",1.09919308849535,4.95746160211544
"81",81,36,"furniture",0.870573640896915,3.77156778021287
"82",82,48,"latest disgrace",0.778593645065147,3.05107737317043
"83",83,66,"provisional",0.556095261474314,1.35549934763664
"84",84,91,"version",0.544779402083297,2.0797732676557
"85",85,80,"steady diet",0.347295408022088,1.40885650658439
"86",86,21,"combination lock",0.113554819567012,0.384793114198939
"87",87,1,"23 beats off",0,NA
"88",88,42,"hello morning",-0.288132004689252,-0.388891885838055
"89",89,87,"the word",-0.431224611637666,-1.55217222692536
"90",90,43,"in defense of humans",-0.558556056525451,-1.94308471948561
"91",91,88,"turn off your guns",-1.14881660397937,-3.40180675355249
"92",92,94,"world beat",-1.80038107780192,-2.44869857512802
"93",93,63,"polish",-1.80054466437286,-3.96940758226826
"94",94,64,"preprovisional",-2.06002541105385,-4.52082323758856
