song,spotify_name,tempo,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,time_signature
23 beats off,23 Beats Off,105.145,0.286,0.538,11,-8.369,0,0.0378,0.0145,0.838,0.126,0.0622,402520,4
and the same,And The Same,133.549,0.388,0.867,9,-5.151,0,0.0566,0.00286,0.478,0.398,0.77,207093,4
argument,Argument,104.107,0.578,0.508,6,-11.121,0,0.044,0.34,0.113,0.668,0.18,267693,4
arpeggiator,Arpeggiator,163.204,0.285,0.903,9,-8.266,1,0.0961,0.000309,0.822,0.302,0.434,268773,4
back to base,Back To Base,91.263,0.406,0.948,0,-8.895,1,0.136,0.023,0.137,0.198,0.342,105213,4
bad mouth,Bad Mouth,91.173,0.456,0.649,9,-8.315,1,0.036,0.000593,0.564,0.321,0.64,155627,4
bed for the scraping,Bed For The Scraping,176.037,0.266,0.931,0,-6.956,1,0.0714,0.0396,0.15,0.636,0.518,170440,4
birthday pony,Birthday Pony,102.397,0.445,0.644,11,-9.868,0,0.132,0.107,0.00234,0.14,0.378,188707,4
blueprint,Blueprint,100.187,0.498,0.78,9,-7.661,1,0.0309,0.00173,0.00141,0.117,0.177,232933,4
break,Break,133.064,0.365,0.87,4,-7.337,0,0.0363,0.105,0.9,0.323,0.582,131253,4
break-in,Break-In,98.762,0.282,0.979,11,-6.524,0,0.0663,0.00307,2.37E-06,0.579,0.202,92667,4
brendan #1,Brendan #1,128.056,0.367,0.874,11,-10.901,0,0.0443,0.00011,0.605,0.141,0.827,152493,4
bulldog front,Bulldog Front,135.181,0.375,0.668,9,-7.928,1,0.0467,0.0031,0.00229,0.442,0.394,173427,4
burning,Burning,126.326,0.584,0.795,11,-7.758,0,0.0475,0.000312,0.419,0.35,0.929,159667,1
burning too,Burning Too,95.38,0.439,0.921,11,-5.654,1,0.136,0.0181,0.401,0.313,0.579,170880,4
by you,By You,122.843,0.251,0.463,7,-11.554,1,0.0443,0.00436,0.892,0.254,0.0388,312187,4
cashout,Cashout,102.044,0.63,0.69,6,-9.173,1,0.0288,0.133,0.82,0.0342,0.879,264920,4
cassavetes,Cassavetes,98.725,0.422,0.884,6,-7.626,0,0.064,0.089,0.0492,0.253,0.547,150387,4
caustic acrostic,Caustic Acrostic,170.672,0.145,0.904,1,-6.001,1,0.0853,0.000115,0.00411,0.302,0.37,120893,4
closed captioned,Closed Captioned,130.869,0.856,0.606,11,-9.995,0,0.0824,0.00547,0.039,0.0321,0.63,293053,4
combination lock,Combination Lock,98.543,0.586,0.614,11,-10.825,0,0.0328,0.00153,0.804,0.546,0.922,186813,4
dear justice letter,Dear Justice Letter,126.411,0.3,0.962,6,-6.422,0,0.054,0.00243,0.517,0.41,0.427,207613,4
do you like me,Do You Like Me,142.945,0.387,0.794,4,-8.995,0,0.0552,0.0121,0.00646,0.468,0.457,195680,4
downed city,Downed City,168.68,0.206,0.838,9,-9.307,1,0.0653,0.00215,0.402,0.0591,0.163,174080,4
epic problem,Epic Problem,168.725,0.27,0.861,4,-7.822,1,0.0883,0.000247,0.668,0.143,0.331,239773,4
exit only,Exit Only,120.719,0.477,0.676,4,-8.229,1,0.143,0.00662,0.00012,0.198,0.568,191253,4
ex-spectator,Ex-Spectator,151.777,0.386,0.823,2,-8.319,0,0.0836,0.0277,0.809,0.219,0.479,258947,4
fd,F/D,79.792,0.476,0.0793,7,-9.791,1,0.0883,0.0272,0.163,0.0498,0.625,221493,4
facet squared,Facet Squared,161.285,0.336,0.903,9,-8.686,1,0.286,0.118,0.932,0.251,0.203,161493,4
"fell, destroyed","Fell, Destroyed",103.255,0.669,0.556,11,-12.449,1,0.0421,0.0525,0.0211,0.108,0.361,226373,4
five corporations,Five Corporations,125.018,0.366,0.95,9,-6.233,1,0.106,0.000578,0.272,0.186,0.175,148960,4
floating boy,Floating Boy,140.351,0.421,0.465,9,-9.815,1,0.0435,0.0564,0.363,0.288,0.247,345747,4
foreman's dog,Foreman's Dog,132.032,0.501,0.706,2,-8.16,1,0.124,0.000846,0.000116,0.617,0.514,261333,4
forensic scene,Forensic Scene,81.167,0.4,0.501,4,-11.041,0,0.0453,0.119,3.44E-05,0.196,0.683,185040,4
full disclosure,Full Disclosure,144.36,0.16,0.867,2,-7.634,1,0.0631,2.35E-05,0.901,0.182,0.232,233080,4
furniture,Furniture,89.092,0.507,0.622,9,-9.105,1,0.0775,0.0121,0.541,0.345,0.67,247314,4
give me the cure,Give Me The Cure,133.283,0.361,0.846,11,-6.757,0,0.0618,0.00178,0.000131,0.0666,0.427,178280,4
glueman,Glue Man,109.923,0.313,0.803,7,-7.342,1,0.0416,5.02E-05,0.396,0.371,0.161,263787,4
great cop,Great Cop,164.836,0.341,0.906,9,-7.488,1,0.107,0.000921,0.876,0.0652,0.336,112227,4
greed,Greed,79.556,0.501,0.881,7,-8.591,1,0.0939,0.000626,0.000165,0.362,0.513,107347,4
guilford fall,Guilford Fall,131.692,0.275,0.883,7,-6.312,1,0.0756,0.000279,0.00615,0.372,0.42,177133,4
hello morning,Hello Morning,173.612,0.206,0.941,7,-6.361,1,0.102,0.000322,0.561,0.0803,0.127,126520,4
in defense of humans,In Defense Of Humans,88.725,0.428,0.904,4,-6.705,0,0.117,0.00359,0.356,0.114,0.743,167251,4
instrument,Instrument,120.154,0.367,0.487,1,-8.605,0,0.0451,0.000637,0.715,0.148,0.444,224027,4
joe #1,Joe #1,84.892,0.294,0.683,0,-11.475,1,0.0348,0.000656,0.869,0.147,0.323,181920,4
kyeo,KYEO,93.367,0.542,0.807,9,-7.409,1,0.0315,0.00414,0.0483,0.306,0.715,178093,4
last chance for a slow dance,Last Chance For A Slow Dance,104.691,0.375,0.691,5,-8.704,1,0.0352,0.000935,0.0198,0.11,0.415,277293,4
latest disgrace,Latest Disgrace,122.468,0.425,0.811,9,-10.372,1,0.11,0.0141,0.126,0.33,0.449,214720,4
latin roots,Latin Roots,152.025,0.375,0.947,7,-6.862,1,0.0584,0.000156,0.573,0.367,0.615,193347,4
life and limb,Life And Limb,142.332,0.535,0.57,1,-12.264,1,0.0292,0.0383,0.786,0.15,0.836,189693,4
lockdown,Lockdown,77.809,0.338,0.995,4,-4.897,0,0.338,0.000808,0.444,0.307,0.143,130560,4
long distance runner,Long Distance Runner,125.486,0.443,0.484,6,-10.714,1,0.0475,0.032,0.793,0.374,0.208,262307,4
long division,Long Division,132.969,0.754,0.814,11,-8.535,0,0.0496,0.123,0.838,0.0847,0.626,132493,4
margin walker,Margin Walker,146.541,0.239,0.994,11,-4.309,1,0.144,0.00881,0.564,0.46,0.269,150467,4
merchandise,Merchandise,179.632,0.52,0.767,4,-9.119,0,0.0936,0.0236,0.00611,0.0743,0.58,178960,4
nice new outfit,Nice New Outfit,79.521,0.427,0.962,2,-8.238,1,0.0802,0.000111,0.00875,0.0975,0.345,206653,4
nightshop,Nightshop,148.307,0.245,0.91,9,-8.586,1,0.0458,0.0366,0.705,0.0936,0.25,242640,4
no surprise,No Surprise,155.922,0.369,0.572,9,-8.791,1,0.0635,0.0104,0.709,0.129,0.372,252187,4
number 5,Number 5,167.849,0.179,0.921,0,-8.83,0,0.122,5.40E-05,0.636,0.177,0.331,189227,4
oh,Oh,153.393,0.402,0.75,7,-7.693,1,0.0497,0.00205,0.0054,0.113,0.618,269400,4
pink frosty,Pink Frosty,94.804,0.366,0.246,2,-16.96,1,0.0336,0.237,0.925,0.0817,0.0706,248507,4
place position,Place Position,150.842,0.323,0.949,2,-6.924,1,0.0905,0.0166,0.0013,0.104,0.275,165573,4
polish,Polish,142.025,0.41,0.75,4,-7.117,1,0.0731,0.00127,0.039,0.187,0.575,218187,4
preprovisional,,,,,,,,,,,,,,
promises,Promises,122.718,0.464,0.532,11,-7.289,0,0.0353,0.00436,0.532,0.339,0.186,242120,4
provisional,Provisional,134.635,0.492,0.852,4,-5.079,1,0.0656,0.000745,0.00935,0.509,0.49,137720,4
public witness program,Public Witness Program,181.757,0.316,0.884,2,-7.054,1,0.0753,0.000533,0.79,0.243,0.174,124507,4
recap modotti,Recap Modotti,136.363,0.496,0.59,11,-12.11,0,0.0306,0.000494,0.855,0.0878,0.221,229507,4
reclamation,Reclamation,132.906,0.383,0.746,4,-9.284,1,0.0512,0.000245,0.799,0.121,0.617,201040,4
rend it,Rend It,106.335,0.422,0.692,4,-7.515,1,0.0569,0.00957,0.0177,0.307,0.429,227040,4
repeater,Repeater,131.693,0.386,0.735,9,-9.354,1,0.0515,0.000167,0.00971,0.344,0.79,181387,4
reprovisional,Reprovisional,136.409,0.517,0.717,1,-9.324,0,0.0416,0.000188,0.000522,0.0446,0.627,137813,4
returning the screw,Returning The Screw,111.211,0.387,0.468,7,-10.998,1,0.0507,0.049,0.852,0.0775,0.223,194173,4
runaway return,Runaway Return,134.059,0.525,0.822,4,-7.912,1,0.0667,0.00317,0.0114,0.138,0.506,238280,4
shut the door,Shut the Door,132.752,0.416,0.547,9,-11.136,1,0.0395,0.000546,0.276,0.343,0.564,299720,4
sieve-fisted find,Sieve-Fisted Find,144.488,0.253,0.788,4,-8.391,1,0.0464,5.65E-05,0.0234,0.334,0.587,204400,4
smallpox champion,Smallpox Champion,143.833,0.28,0.954,2,-7.673,1,0.156,0.00208,0.786,0.061,0.302,240667,4
song #1,Song #1,92.003,0.428,0.808,9,-7.691,1,0.047,0.000549,0.000235,0.0936,0.561,174147,4
stacks,Stacks,136.371,0.477,0.661,11,-7.737,0,0.112,0.000247,0.621,0.165,0.454,188867,4
steady diet,Steady Diet,148.604,0.29,0.876,1,-7.028,0,0.061,1.21E-05,0.948,0.115,0.614,222853,4
strangelight,Strangelight,93.637,0.278,0.509,11,-10.893,1,0.0303,0.243,0.886,0.0846,0.119,353547,4
styrofoam,Styrofoam,180.353,0.213,0.844,4,-8.882,1,0.0554,5.69E-05,0.517,0.13,0.462,155267,4
suggestion,Suggestion,89.219,0.477,0.503,2,-8.322,1,0.0515,0.00114,0.4,0.0844,0.38,284147,4
sweet and low,Sweet And Low,104.24,0.786,0.265,9,-13.406,0,0.149,0.347,0.563,0.0961,0.389,214573,4
target,Target,150.555,0.391,0.823,11,-9.623,1,0.0617,0.00988,0.000328,0.0604,0.644,212253,4
the kill,The Kill,111.458,0.508,0.417,6,-13.452,0,0.0299,0.41,0.865,0.665,0.446,327360,4
the word,The Word,93.855,0.407,0.681,4,-7.352,1,0.125,0.00384,0.0066,0.135,0.6,278565,4
turn off your guns,Turn Off Your Guns,93.287,0.44,0.72,6,-8.707,0,0.0471,0.0363,0.628,0.17,0.747,223091,4
turnover,Turnover,130.792,0.324,0.83,9,-9.576,1,0.0492,0.00012,0.024,0.0766,0.334,255720,4
two beats off,Two Beats Off,86.786,0.425,0.612,9,-9.925,1,0.066,0.0149,0.000594,0.224,0.262,208400,4
version,Version,61.647,0.24,0.519,8,-10.171,1,0.0447,0.0112,0.747,0.368,0.113,200040,4
waiting room,Waiting Room,92.174,0.618,0.716,6,-8.224,0,0.0367,0.00473,0.822,0.179,0.545,173267,4
walken's syndrome,Walken's Syndrome,157.575,0.152,0.979,1,-8.26,0,0.145,0.000413,0.624,0.382,0.103,197533,4
world beat,,,,,,,,,,,,,,
