gid,fls_id,played_with
washington-dc-usa-90387,FLS0001,"Marginal Man, Ignition, Fire Party"
washington-dc-usa-92687,FLS0002,"Sarcastic Orgasm, Darkness at Noon, Swiz"
chapel-hill-nc-usa-92787,FLS0003,"Slush Puppies, Days Of"
richmond-va-usa-100787,FLS0004,"Oi Polloi, Killjoy"
washington-dc-usa-101687,FLS0005,Kingface
frederick-md-usa-112587,FLS0006,"Three, Soulside, Second Nature"
bethesda-md-usa-120287,FLS0007,NA
washington-dc-usa-120387,FLS0008,"Soulside, The Hated, Thorns"
middletown-ct-usa-120487,FLS0009,Soulside
norwalk-ct-usa-120587,FLS0010,"Soulside, American Standard"
washington-dc-usa-122887,FLS0011,Darkness At Noon
flint-mi-usa-12188,FLS0012,"Smashed, Political Silence"
annapolis-md-usa-20688,FLS0013,"Moss Icon, Images"
merrifield-va-usa-22088,FLS0014,"Shudder to Think, MFD"
washington-dc-usa-30388,FLS0015,"Kingface, False Prophets, Fidelity Jones"
new-york-ny-usa-32588,FLS0016,"Alice Donut, Fidelity Jones"
washington-dc-usa-33088,FLS0017,Laughing Hyenas
rockville-md-usa-40988,FLS0018,"The Cynics, MFD, The Now"
middletown-ct-usa-41588,FLS0019,Watershed
boston-ma-usa-41688,FLS0020,Patience
providence-ri-usa-41788,FLS0021,"Operation Ivy, Verbal Assault"
richmond-va-usa-42888,FLS0022,Alternatives
washington-dc-usa-50188,FLS0023,"The Smithtones, Twisted Teenage Plot, Dan Joseph &amp; Rohelio Maxwell"
oberlin-oh-usa-50588,FLS0024,Kingface
morgantown-wv-usa-50688,FLS0025,Das Damen
clarksville-in-usa-50788,FLS0026,"King Horse, Lead Pennies"
chicago-il-usa-50888,FLS0027,"Jack Scratch, No Empathy"
bozeman-mt-usa-51288,FLS0028,Homes With Pelicans
spokane-wa-usa-51388,FLS0029,"Buzz amp; the Feedback, Coffee Achievers, Free Keg"
tacoma-wa-usa-51588,FLS0030,"Brotherhood, Noise For Nothing"
olympia-wa-usa-51688,FLS0031,"Dangermouse, Green Eggs & Ham"
berkeley-ca-usa-52088,FLS0032,"Beatnigs, Yeastie Girlz, Crimpshrine"
pomona-ca-usa-52288,FLS0033,"Savage Republic, Lazy Cowgirls, Public Humiliation"
long-beach-ca-usa-52188,FLS0034,NA
tucson-az-usa-52488,FLS0035,"Wind of Change, The Squares"
college-station-tx-usa-52688,FLS0036,"Bad Mutha Goose, Hostile Union"
houston-tx-usa-52788,FLS0037,Bad Mutha Goose
austin-tx-usa-52888,FLS0038,"Bad Mutha Goose, Wildseeds, Glass Eye"
dallas-tx-usa-52988,FLS0039,Last Rites
athens-ga-usa-60388,FLS0040,Jackonuts
atlanta-ga-usa-60488,FLS0041,"After Words, Final Offering"
chapel-hill-nc-usa-60588,FLS0042,Wwax
washington-dc-usa-61588,FLS0043,"Fire Party, Bells Of"
hoboken-nj-usa-63088,FLS0044,American Standard
