releaseid,release,variable,releasedate,release_date_source,colour_code,rym_rating
1,fugazi,fugazi,19/11/1988,https://rateyourmusic.com/release/ep/fugazi/fugazi/,#80110e,0.796
2,margin walker,margin_walker,15/06/1989,https://www.dischord.com/release/035/margin-walker,#f1bd98,0.744
3,3 songs,three_songs,01/12/1989,https://musicbrainz.org/release-group/43766318-cb47-4398-a877-0bfcbb09ad5a,#6a5662,0.656
4,repeater,repeater,01/03/1990,https://fugazi.bandcamp.com/album/repeater-3-songs,#546084,0.774
5,steady diet of nothing,steady_diet_of_nothing,01/08/1991,https://fugazi.bandcamp.com/album/steady-diet-of-nothing,#9a5715,0.708
6,in on the killtaker,in_on_the_killtaker,18/06/1993,https://www.officialcharts.com/artist/33439/fugazi/,#e6ca6f,0.756
7,red medicine,red_medicine,12/05/1995,https://www.officialcharts.com/artist/33439/fugazi/,#c02118,0.762
8,end hits,end_hits,24/04/1998,https://www.officialcharts.com/artist/33439/fugazi/,#5b734d,0.734
9,the argument,the_argument,16/10/2001,https://musicbrainz.org/release-group/7b1cb5fb-7ba5-3472-a687-1cb8f2d896e7,#99c3cb,0.778
10,furniture,furniture,16/10/2001,https://musicbrainz.org/release-group/4042fe4e-0444-338b-9f2a-ac80faabcb1f,#d15743,0.734
11,first demo,first_demo,18/11/2014,https://musicbrainz.org/release-group/753fb03e-65f5-4805-afe9-373ed573cf87,#adb56a,0.726
12,released,released,,,#009e73,
13,unreleased,unreleased,,,#e69f00,
14,other,other,,,#8a8784,
