rank_length,releaseid,track_number,song,instrumental,vocals_picciotto,vocals_mackaye,vocals_lally,duration_seconds
1,6,6,23 beats off,0,0,1,0,401
43,2,2,and the same,0,0,1,0,207
13,9,11,argument,0,0,1,0,267
12,8,10,arpeggiator,1,0,0,0,268
93,7,11,back to base,0,0,1,0,105
76,1,3,bad mouth,0,0,1,0,155
70,7,2,bed for the scraping,0,0,1,0,170
56,7,4,birthday pony,0,0,1,0,188
28,4,5,blueprint,0,1,0,0,232
84,8,1,break,0,0,1,0,132
94,3,3,break-in,0,1,0,0,92
78,4,3,brendan #1,1,0,0,0,152
67,1,2,bulldog front,0,1,0,0,173
75,1,4,burning,0,1,0,0,159
71,2,3,burning too,0,0,1,0,170
5,7,8,by you,0,0,0,1,311
14,9,2,cashout,0,0,1,0,264
79,6,8,cassavetes,0,1,0,0,150
90,8,6,caustic acrostic,0,1,0,0,121
6,8,7,closed captioned,0,0,1,0,292
58,7,6,combination lock,1,0,0,0,186
44,5,10,dear justice letter,0,1,0,0,207
50,7,1,do you like me,0,1,0,0,196
68,7,12,downed city,0,1,0,0,173
25,9,4,epic problem,0,0,1,0,239
53,5,1,exit only,0,1,0,0,191
17,9,9,ex-spectator,0,0,1,0,258
74,6,1,facet squared,0,0,1,0,162
35,8,13,fd,0,0,1,0,222
31,7,7,"fell, destroyed",0,1,0,0,226
81,8,5,five corporations,0,0,1,0,149
3,8,8,floating boy,0,1,0,0,345
16,8,9,foreman's dog,0,1,0,0,261
59,7,5,forensic scene,0,1,0,0,185
27,9,3,full disclosure,0,1,0,0,233
39,10,1,furniture,0,0,1,0,215
63,1,5,give me the cure,0,1,0,0,178
15,1,7,glueman,0,1,0,0,263
91,6,9,great cop,0,0,1,0,112
92,4,7,greed,0,0,1,0,107
65,8,11,guilford fall,0,1,0,0,177
88,10,3,hello morning,0,1,0,0,126
72,11,10,in defense of humans,0,0,1,0,167
33,6,11,instrument,0,0,1,0,223
60,3,2,joe #1,1,0,0,0,181
64,5,11,kyeo,0,0,1,0,178
9,6,12,last chance for a slow dance,0,1,0,0,278
40,7,3,latest disgrace,0,1,0,0,214
51,5,5,latin roots,0,1,0,0,193
54,9,5,life and limb,0,1,0,0,189
86,2,5,lockdown,0,1,0,0,130
18,7,13,long distance runner,0,0,1,0,257
85,5,7,long division,0,0,1,0,132
80,2,1,margin walker,0,1,0,0,150
62,4,4,merchandise,0,0,1,0,179
45,5,3,nice new outfit,0,1,0,0,206
22,9,10,nightshop,0,1,0,0,242
20,8,4,no surprise,0,1,0,0,252
55,10,2,number 5,1,0,0,0,189
11,9,8,oh,0,1,0,0,269
21,8,12,pink frosty,0,0,1,0,249
73,8,2,place position,0,1,0,0,165
37,5,9,polish,0,0,1,0,218
87,13,1,preprovisional,0,1,0,0,130
23,2,6,promises,0,0,1,0,242
83,2,4,provisional,0,1,0,0,137
89,6,2,public witness program,0,1,0,0,124
29,8,3,recap modotti,0,0,0,1,230
47,5,2,reclamation,0,0,1,0,201
30,6,5,rend it,0,1,0,0,228
61,4,2,repeater,0,0,1,0,181
82,4,10,reprovisional,0,1,0,0,138
52,6,3,returning the screw,0,0,1,0,193
26,5,8,runaway return,0,1,0,0,238
7,4,11,shut the door,0,0,1,0,289
46,4,6,sieve-fisted find,0,1,0,0,204
24,6,4,smallpox champion,0,1,0,0,241
66,3,1,song #1,0,0,1,0,174
57,5,4,stacks,0,0,1,0,188
36,5,6,steady diet,1,0,0,0,222
2,9,7,strangelight,0,1,0,0,353
77,4,9,styrofoam,0,0,1,0,154
8,1,6,suggestion,0,0,1,0,284
38,6,7,sweet and low,1,0,0,0,216
41,7,10,target,0,1,0,0,212
4,9,6,the kill,0,0,0,1,327
10,11,5,the word,0,0,1,0,278
34,11,8,turn off your guns,0,0,1,0,223
19,4,1,turnover,0,1,0,0,256
42,4,8,two beats off,0,1,0,0,208
48,7,9,version,1,0,0,0,200
69,1,1,waiting room,0,0,1,0,173
49,6,10,walken's syndrome,0,1,0,0,198
32,13,2,world beat,1,0,0,0,226
