"","rank","songid","track_number","song","launchdate","duration","chosen","available_rl","intensity","rating","releaseid","release","releasedate","lead","launchyear","releaseyear"
"1",8,92,1,"waiting room",1987-09-03,173,632,899,0.703003337041157,0.918895475773973,1,"fugazi",1988-11-19,443,1987,1988
"2",55,13,2,"bulldog front",1988-06-15,173,225,875,0.257142857142857,0.69791867382676,1,"fugazi",1988-11-19,157,1988,1988
"3",48,6,3,"bad mouth",1987-10-16,155,279,896,0.311383928571429,0.748726725456331,1,"fugazi",1988-11-19,400,1987,1988
"4",64,14,4,"burning",1988-02-06,159,214,889,0.240719910011249,0.680702948427505,1,"fugazi",1988-11-19,287,1988,1988
"5",37,37,5,"give me the cure",1988-03-30,178,368,886,0.415349887133183,0.783428300418097,1,"fugazi",1988-11-19,234,1988,1988
"6",44,83,6,"suggestion",1987-12-03,284,339,894,0.379194630872483,0.763690122183431,1,"fugazi",1988-11-19,352,1987,1988
"7",80,38,7,"glueman",1988-05-12,263,133,883,0.150622876557191,0.556673633169796,1,"fugazi",1988-11-19,191,1988,1988
"8",18,54,1,"margin walker",1988-08-01,150,429,871,0.492537313432836,0.853265625225479,2,"margin walker",1989-06-15,318,1988,1989
"9",31,2,2,"and the same",1987-09-26,207,375,898,0.417594654788419,0.812135330361427,2,"margin walker",1989-06-15,628,1987,1989
"10",60,15,3,"burning too",1988-08-01,170,214,871,0.245694603903559,0.684230602811786,2,"margin walker",1989-06-15,318,1988,1989
"11",83,66,4,"provisional",1988-11-14,137,8,862,0.00928074245939675,0.461053205981359,2,"margin walker",1989-06-15,213,1988,1989
"12",73,51,5,"lockdown",1987-12-03,130,164,894,0.1834451901566,0.622043878137172,2,"margin walker",1989-06-15,560,1987,1989
"13",46,65,6,"promises",1988-10-15,242,380,868,0.43778801843318,0.760533457017062,2,"margin walker",1989-06-15,243,1988,1989
"14",36,78,1,"song #1",1987-09-03,174,321,899,0.35706340378198,0.785364523249803,3,"3 songs",1989-12-01,820,1987,1989
"15",78,45,2,"joe #1",1987-09-03,181,131,899,0.145717463848721,0.569967667927496,3,"3 songs",1989-12-01,820,1987,1989
"16",77,11,3,"break-in",1987-10-16,92,134,896,0.149553571428571,0.578209038568743,3,"3 songs",1989-12-01,777,1987,1989
"17",20,89,1,"turnover",1989-04-09,256,393,847,0.463990554899646,0.847505022593158,4,"repeater",1990-03-01,326,1989,1990
"18",41,71,2,"repeater",1989-07-20,181,409,837,0.488649940262843,0.773997460024985,4,"repeater",1990-03-01,224,1989,1990
"19",72,12,3,"brendan #1",1989-03-24,152,158,852,0.185446009389671,0.622310107216529,4,"repeater",1990-03-01,342,1989,1990
"20",14,55,4,"merchandise",1987-09-03,179,477,899,0.530589543937709,0.884535031403051,4,"repeater",1990-03-01,910,1987,1990
"21",12,9,5,"blueprint",1989-11-25,232,583,825,0.706666666666667,0.894260326102445,4,"repeater",1990-03-01,96,1989,1990
"22",13,76,6,"sieve-fisted find",1989-03-24,204,417,852,0.48943661971831,0.885521382922024,4,"repeater",1990-03-01,342,1989,1990
"23",67,40,7,"greed",1989-03-24,107,188,852,0.220657276995305,0.667568444168099,4,"repeater",1990-03-01,342,1989,1990
"24",38,90,8,"two beats off",1989-05-03,208,370,845,0.437869822485207,0.783106649632893,4,"repeater",1990-03-01,302,1989,1990
"25",43,82,9,"styrofoam",1990-05-17,154,287,788,0.364213197969543,0.764334796230476,4,"repeater",1990-03-01,-77,1990,1990
"26",58,72,10,"reprovisional",1988-12-29,138,275,853,0.322391559202814,0.694604245546577,4,"repeater",1990-03-01,427,1988,1990
"27",50,75,11,"shut the door",1989-03-24,289,322,852,0.377934272300469,0.74510836381091,4,"repeater",1990-03-01,342,1989,1990
"28",49,27,1,"exit only",1990-07-06,191,275,755,0.364238410596026,0.746119340451982,5,"steady diet of nothing",1991-08-01,391,1990,1991
"29",3,69,2,"reclamation",1990-05-05,201,594,795,0.747169811320755,0.996337312805815,5,"steady diet of nothing",1991-08-01,453,1990,1991
"30",75,56,3,"nice new outfit",1991-02-20,206,115,690,0.166666666666667,0.59388658420075,5,"steady diet of nothing",1991-08-01,162,1991,1991
"31",70,79,4,"stacks",1991-02-15,188,153,691,0.221418234442836,0.640046279914566,5,"steady diet of nothing",1991-08-01,167,1991,1991
