"","songid","instrumental","vocals_picciotto","vocals_mackaye","vocals_lally","duration_seconds"
"1",83,0,0,1,0,401
"2",88,0,1,0,0,353
"3",65,0,1,0,0,345
"4",77,0,0,0,1,327
"5",32,0,0,0,1,311
"6",44,0,0,1,0,292
"7",16,0,0,1,0,289
"8",15,0,0,1,0,284
"9",51,0,1,0,0,278
"10",81,0,0,1,0,278
"11",68,0,1,0,0,269
"12",46,1,0,0,0,268
"13",70,0,0,1,0,267
"14",71,0,0,1,0,264
"15",57,0,1,0,0,263
"16",79,0,1,0,0,261
"17",73,0,0,1,0,258
"18",61,0,0,1,0,257
"19",9,0,1,0,0,256
"20",67,0,1,0,0,252
"21",69,0,0,1,0,249
"22",10,0,0,1,0,242
"23",75,0,1,0,0,242
"24",30,0,1,0,0,241
"25",82,0,0,1,0,239
"26",27,0,1,0,0,238
"27",85,0,1,0,0,233
"28",3,0,1,0,0,232
"29",49,0,0,0,1,230
"30",14,0,1,0,0,228
"31",54,0,1,0,0,226
"32",25,0,0,1,0,223
"33",89,0,0,1,0,223
"34",74,1,0,0,0,222
"35",59,0,0,1,0,222
"36",91,0,0,1,0,218
"37",31,1,0,0,0,216
"38",66,0,0,1,0,215
"39",76,0,1,0,0,214
"40",29,0,1,0,0,212
"41",12,0,1,0,0,208
"42",11,0,0,1,0,207
"43",48,0,1,0,0,207
"44",60,0,1,0,0,206
"45",7,0,1,0,0,204
"46",2,0,0,1,0,201
"47",78,1,0,0,0,200
"48",50,0,1,0,0,198
"49",24,0,1,0,0,196
"50",39,0,1,0,0,193
"51",55,0,0,1,0,193
"52",22,0,1,0,0,191
"53",87,0,1,0,0,189
"54",64,1,0,0,0,189
"55",47,0,0,1,0,188
"56",37,0,0,1,0,188
"57",86,1,0,0,0,186
"58",36,0,1,0,0,185
"59",58,1,0,0,0,181
"60",8,0,0,1,0,181
"61",5,0,0,1,0,179
"62",13,0,1,0,0,178
"63",40,0,0,1,0,178
"64",80,0,1,0,0,177
"65",17,0,0,1,0,174
"66",1,0,0,1,0,173
"67",33,0,1,0,0,173
"68",62,0,1,0,0,173
"69",35,0,0,1,0,170
"70",18,0,0,1,0,170
"71",84,0,0,1,0,167
"72",56,0,1,0,0,165
"73",19,0,0,1,0,162
"74",34,0,1,0,0,159
"75",21,0,0,1,0,155
"76",20,0,0,1,0,154
"77",45,1,0,0,0,152
"78",6,0,1,0,0,150
"79",41,0,1,0,0,150
"80",63,0,0,1,0,149
"81",23,0,1,0,0,138
"82",90,0,1,0,0,137
"83",4,0,0,1,0,132
"84",42,0,0,1,0,132
"85",43,0,1,0,0,130
"86",92,0,1,0,0,126
"87",28,0,1,0,0,124
"88",72,0,1,0,0,121
"89",26,0,0,1,0,112
"90",38,0,0,1,0,107
"91",52,0,0,1,0,105
"92",53,0,1,0,0,92
