,release,releaseid,releasedate,rating,songs_rated,rym_rating
1,the argument,9,2001-10-11,0.789482557789918,10,0.778
2,end hits,8,1998-04-27,0.785964428747419,13,0.734
3,repeater,4,1990-03-20,0.76694508690663,11,0.774
4,red medicine,7,1995-08-14,0.722217142485388,13,0.762
5,fugazi,1,1988-11-19,0.721385773052299,7,0.796
6,in on the killtaker,6,1993-06-30,0.717634346476602,12,0.756
7,3 songs,3,1990-01-15,0.626556689335966,3,0.656
8,steady diet of nothing,5,1991-07-15,0.612605894410895,11,0.708
9,margin walker,2,1989-06-15,0.611865190366788,6,0.744
10,furniture,10,2001-10-15,0.554854778867956,3,0.734
,,,,,,
Source: https://web.archive.org/web/20210211085323/https://rateyourmusic.com/artist/fugazi,,,,,,
