releaseid,release,track_number,songid,song,lead_vocals,duration_fraction,constant_seconds,duration_seconds
1,Fugazi,1,1,waiting room,MacKaye,0.120138889,1440,173
1,Fugazi,2,33,bulldog front,Picciotto,0.120138889,1440,173
1,Fugazi,3,21,bad mouth,MacKaye,0.107638889,1440,155
1,Fugazi,4,34,burning,Picciotto,0.110416667,1440,159
1,Fugazi,5,13,give me the cure,Picciotto,0.123611111,1440,178
1,Fugazi,6,15,suggestion,MacKaye,0.197222222,1440,284
1,Fugazi,7,57,glueman,Picciotto,0.182638889,1440,263
2,Margin Walker,1,6,margin walker,Picciotto,0.104166667,1440,150
2,Margin Walker,2,11,and the same,MacKaye,0.14375,1440,207
2,Margin Walker,3,35,burning too,MacKaye,0.118055556,1440,170
2,Margin Walker,4,90,provisional,Picciotto,0.095138889,1440,137
2,Margin Walker,5,43,lockdown,Picciotto,0.090277778,1440,130
2,Margin Walker,6,10,promises,MacKaye,0.168055556,1440,242
3,3 Songs,1,17,song #1,NA,0.120833333,1440,174
3,3 Songs,2,58,joe #1,NA,0.125694444,1440,181
3,3 Songs,3,53,break-in,,0.063888889,1440,92
4,Repeater,1,9,turnover,Picciotto,0.177777778,1440,256
4,Repeater,2,8,repeater,MacKaye,0.125694444,1440,181
4,Repeater,3,45,brendan #1,NA,0.105555556,1440,152
4,Repeater,4,5,merchandise,MacKaye,0.124305556,1440,179
4,Repeater,5,3,blueprint,Picciotto,0.161111111,1440,232
4,Repeater,6,7,sieve-fisted find,Picciotto,0.141666667,1440,204
4,Repeater,7,38,greed,MacKaye/Picciotto,0.074305556,1440,107
4,Repeater,8,12,two beats off,Picciotto,0.144444444,1440,208
4,Repeater,9,20,styrofoam,MacKaye,0.106944444,1440,154
4,Repeater,10,23,reprovisional,Picciotto,0.095833333,1440,138
4,Repeater,11,16,shut the door,MacKaye,0.200694444,1440,289
5,Steady Diet,1,22,exit only,Picciotto,0.132638889,1440,191
5,Steady Diet,2,2,reclamation,MacKaye,0.139583333,1440,201
5,Steady Diet,3,60,nice new outfit,Picciotto,0.143055556,1440,206
5,Steady Diet,4,47,stacks,MacKaye,0.130555556,1440,188
5,Steady Diet,5,39,latin roots,Picciotto,0.134027778,1440,193
