songid,song,release,releaseid,releasedate
1,waiting room,fugazi,1,1988-11-19
5,merchandise,repeater,4,1990-03-20
17,song #1,3 songs,3,1990-01-15
58,joe #1,3 songs,3,1990-01-15
66,furniture,furniture,10,2001-10-15
81,the word,first demo,11,2014-11-11
84,in defense of humans,first demo,11,2014-11-11
89,turn off your guns,first demo,11,2014-11-11
11,and the same,margin walker,2,1989-06-15
40,kyeo,steady diet of nothing,5,1991-07-15
21,bad mouth,fugazi,1,1988-11-19
53,break-in,3 songs,3,1990-01-15
15,suggestion,fugazi,1,1988-11-19
43,lockdown,margin walker,2,1989-06-15
34,burning,fugazi,1,1988-11-19
13,give me the cure,fugazi,1,1988-11-19
57,glueman,fugazi,1,1988-11-19
33,bulldog front,fugazi,1,1988-11-19
6,margin walker,margin walker,2,1989-06-15
35,burning too,margin walker,2,1989-06-15
10,promises,margin walker,2,1989-06-15
90,provisional,margin walker,2,1989-06-15
23,reprovisional,repeater,4,1990-03-20
7,sieve-fisted find,repeater,4,1990-03-20
16,shut the door,repeater,4,1990-03-20
38,greed,repeater,4,1990-03-20
45,brendan #1,repeater,4,1990-03-20
9,turnover,repeater,4,1990-03-20
4,long division,steady diet of nothing,5,1991-07-15
12,two beats off,repeater,4,1990-03-20
8,repeater,repeater,4,1990-03-20
3,blueprint,repeater,4,1990-03-20
27,runaway return,steady diet of nothing,5,1991-07-15
2,reclamation,steady diet of nothing,5,1991-07-15
20,styrofoam,repeater,4,1990-03-20
22,exit only,steady diet of nothing,5,1991-07-15
39,latin roots,steady diet of nothing,5,1991-07-15
48,dear justice letter,steady diet of nothing,5,1991-07-15
47,stacks,steady diet of nothing,5,1991-07-15
60,nice new outfit,steady diet of nothing,5,1991-07-15
91,polish,steady diet of nothing,5,1991-07-15
74,steady diet,steady diet of nothing,5,1991-07-15
41,cassavetes,in on the killtaker,6,1993-06-30
51,last chance for a slow dance,in on the killtaker,6,1993-06-30
19,facet squared,in on the killtaker,6,1993-06-30
14,rend it,in on the killtaker,6,1993-06-30
26,great cop,in on the killtaker,6,1993-06-30
25,instrument,in on the killtaker,6,1993-06-30
31,sweet and low,in on the killtaker,6,1993-06-30
30,smallpox champion,in on the killtaker,6,1993-06-30
50,walken's syndrome,in on the killtaker,6,1993-06-30
55,returning the screw,in on the killtaker,6,1993-06-30
83,23 beats off,in on the killtaker,6,1993-06-30
28,public witness program,in on the killtaker,6,1993-06-30
32,by you,red medicine,7,1995-08-14
54,"fell, destroyed",red medicine,7,1995-08-14
29,target,red medicine,7,1995-08-14
37,birthday pony,red medicine,7,1995-08-14
36,forensic scene,red medicine,7,1995-08-14
78,version,red medicine,7,1995-08-14
18,bed for the scraping,red medicine,7,1995-08-14
24,do you like me,red medicine,7,1995-08-14
52,back to base,red medicine,7,1995-08-14
62,downed city,red medicine,7,1995-08-14
76,latest disgrace,red medicine,7,1995-08-14
61,long distance runner,red medicine,7,1995-08-14
86,combination lock,red medicine,7,1995-08-14
72,caustic acrostic,end hits,8,1998-04-27
69,pink frosty,end hits,8,1998-04-27
42,break,end hits,8,1998-04-27
56,place position,end hits,8,1998-04-27
63,five corporations,end hits,8,1998-04-27
80,guilford fall,end hits,8,1998-04-27
67,no surprise,end hits,8,1998-04-27
65,floating boy,end hits,8,1998-04-27
46,arpeggiator,end hits,8,1998-04-27
59,fd,end hits,8,1998-04-27
49,recap modotti,end hits,8,1998-04-27
44,closed captioned,end hits,8,1998-04-27
79,foreman's dog,end hits,8,1998-04-27
64,number 5,furniture,10,2001-10-15
68,oh,the argument,9,2001-10-11
70,argument,the argument,9,2001-10-11
73,ex-spectator,the argument,9,2001-10-11
75,nightshop,the argument,9,2001-10-11
71,cashout,the argument,9,2001-10-11
82,epic problem,the argument,9,2001-10-11
77,the kill,the argument,9,2001-10-11
85,full disclosure,the argument,9,2001-10-11
88,strangelight,the argument,9,2001-10-11
92,hello morning,furniture,10,2001-10-15
87,life and limb,the argument,9,2001-10-11
