"","rank_rating","songid","song","launchdate","duration","chosen","available_rl","intensity","rating"
"1",1,24,"do you like me","1994-11-20","03:16",272,376,0.723404255319149,1
"2",2,42,"break","1996-08-15","02:12",170,228,0.745614035087719,0.986971199405711
"3",3,18,"bed for the scraping","1994-11-20","02:50",299,376,0.795212765957447,0.985861949656687
"4",4,2,"reclamation","1990-05-05","03:21",594,793,0.749054224464061,0.981367097926423
"5",5,56,"place position","1996-08-15","02:45",133,228,0.583333333333333,0.959813629622654
"6",6,29,"target","1994-08-15","03:32",261,384,0.6796875,0.949705222096288
"7",7,71,"cashout","2000-09-30","04:24",59,65,0.907692307692308,0.94611520886584
"8",8,44,"closed captioned","1997-06-18","04:52",158,198,0.797979797979798,0.940084115930239
"9",9,7,"sieve-fisted find","1989-04-05","03:24",417,849,0.491166077738516,0.931897913888915
"10",10,3,"blueprint","1989-11-25","03:52",585,823,0.710814094775213,0.929162889695404
"11",11,14,"rend it","1991-12-08","03:48",347,583,0.595197255574614,0.911081745169219
"12",12,49,"recap modotti","1997-05-03","03:50",141,206,0.684466019417476,0.900879889608442
"13",13,6,"margin walker","1988-08-01","02:30",426,868,0.490783410138249,0.89546092599176
"14",14,1,"waiting room","1987-09-03","02:53",628,895,0.701675977653631,0.889717433337076
"15",15,9,"turnover","1989-04-09","04:16",392,845,0.463905325443787,0.888281694799784
"16",16,64,"number 5","1998-11-21","03:09",109,144,0.756944444444444,0.881593532722638
"17",17,28,"public witness program","1993-02-05","02:04",262,512,0.51171875,0.872590333116877
"18",18,5,"merchandise","1987-09-03","02:59",474,895,0.529608938547486,0.855039813155003
"19",19,36,"forensic scene","1994-08-19","03:05",201,382,0.526178010471204,0.848717273841044
"20",20,30,"smallpox champion","1992-10-23","04:01",251,515,0.487378640776699,0.847972653447488
"21",21,46,"arpeggiator","1997-05-02","04:28",154,207,0.743961352657005,0.84765043477564
"22",22,77,"the kill","2001-04-05","05:27",35,57,0.614035087719298,0.847184454472661
"23",23,68,"oh","1998-11-29","04:29",78,136,0.573529411764706,0.845531951352757
"24",24,65,"floating boy","1996-10-16","05:45",107,226,0.473451327433628,0.84291690078857
"25",25,37,"birthday pony","1994-08-15","03:08",200,384,0.520833333333333,0.841828368959905
"26",26,70,"argument","1999-08-26","04:27",66,100,0.66,0.837326369833861
"27",27,19,"facet squared","1991-08-12","02:42",298,619,0.481421647819063,0.837227829639159
"28",28,13,"give me the cure","1988-03-30","02:58",365,882,0.413832199546485,0.82353374614037
"29",29,4,"long division","1989-04-09","02:12",497,845,0.588165680473373,0.820755225827629
"30",30,12,"two beats off","1989-05-03","03:28",369,843,0.437722419928826,0.815105699810832
"31",31,59,"fd","1997-05-02","03:42",115,207,0.555555555555556,0.808229022298449
"32",32,32,"by you","1993-04-24","05:11",232,476,0.487394957983193,0.79828222491367
"33",33,63,"five corporations","1996-08-15","02:29",110,228,0.482456140350877,0.793684433986018
"34",34,67,"no surprise","1996-09-29","04:12",89,227,0.392070484581498,0.789539126519305
"35",35,87,"life and limb","2001-06-21","03:09",20,43,0.465116279069767,0.788013206380743
"36",36,25,"instrument","1992-01-25","03:43",271,581,0.466437177280551,0.786035769585322
"37",37,11,"and the same","1987-09-26","03:27",374,894,0.41834451901566,0.785165393622544
"38",38,73,"ex-spectator","1999-08-26","04:18",46,100,0.46,0.783514650532709
"39",39,85,"full disclosure","2001-04-05","03:53",24,57,0.421052631578947,0.778810109858018
"40",40,22,"exit only","1990-07-06","03:11",275,753,0.365205843293493,0.773079149741477
"41",41,26,"great cop","1991-12-08","01:52",268,583,0.459691252144082,0.771040155824528
"42",42,82,"epic problem","2000-10-01","03:59",30,64,0.46875,0.763037561147952
"43",43,8,"repeater","1989-07-20","03:01",408,835,0.488622754491018,0.753144242820122
"44",44,17,"song #1","1987-09-03","02:54",318,895,0.355307262569832,0.7488375894804
"45",45,75,"nightshop","1999-08-26","04:02",43,100,0.43,0.74752003418607
"46",46,27,"runaway return","1990-02-11","03:58",264,815,0.323926380368098,0.744112869839397
"47",47,20,"styrofoam","1990-05-17","02:34",288,786,0.366412213740458,0.743682605142961
"48",48,10,"promises","1988-10-15","04:02",376,864,0.435185185185185,0.73681460394565
"49",49,33,"bulldog front","1988-06-15","02:53",223,871,0.256027554535017,0.735348774786203
"50",50,52,"back to base","1994-11-20","01:45",135,376,0.359042553191489,0.731802093903576
"51",51,15,"suggestion","1987-12-03","04:44",338,890,0.379775280898876,0.73063285861149
"52",52,23,"reprovisional","1988-12-29","02:18",275,850,0.323529411764706,0.72397208127182
"53",53,50,"walken's syndrome","1992-10-23","03:18",141,515,0.27378640776699,0.723453788916067
"54",54,34,"burning","1988-02-06","02:39",212,885,0.23954802259887,0.71962194620541
"55",55,16,"shut the door","1989-04-05","04:49",321,849,0.378091872791519,0.718919088926352
"56",56,62,"downed city","1994-11-20","02:53",111,376,0.295212765957447,0.717601490938866
"57",57,31,"sweet and low","1992-05-15","03:36",247,562,0.439501779359431,0.716471992351002
"58",58,54,"fell, destroyed","1993-08-16","03:46",134,448,0.299107142857143,0.712314207563082
"59",59,21,"bad mouth","1987-10-16","02:35",276,892,0.309417040358744,0.711203810671537
"60",60,41,"cassavetes","1991-07-28","02:30",171,630,0.271428571428571,0.707601408998879
"61",61,39,"latin roots","1990-10-01","03:13",181,727,0.248968363136176,0.699527120880625
"62",62,88,"strangelight","2001-04-06","05:53",19,56,0.339285714285714,0.691092594267369
"63",63,48,"dear justice letter","1991-01-02","03:27",148,692,0.213872832369942,0.677536380643217
"64",64,61,"long distance runner","1994-11-27","04:17",112,375,0.298666666666667,0.66821324728245
"65",65,72,"caustic acrostic","1996-01-30","02:01",51,253,0.201581027667984,0.659533454205876
"66",66,69,"pink frosty","1996-03-20","04:09",67,250,0.268,0.652666720552812
"67",67,51,"last chance for a slow dance","1991-07-28","04:38",137,630,0.217460317460317,0.652476985535347
"68",68,43,"lockdown","1987-12-03","02:10",162,890,0.182022471910112,0.65236842411556
"69",69,55,"returning the screw","1992-10-23","03:13",134,515,0.260194174757282,0.650583517872363
"70",70,35,"burning too","1988-08-01","02:50",212,868,0.244239631336406,0.649327019798242
"71",71,38,"greed","1989-04-05","01:47",187,849,0.220259128386337,0.638467443007279
"72",72,60,"nice new outfit","1991-02-20","03:26",114,688,0.165697674418605,0.617931836987998
"73",73,47,"stacks","1991-02-15","03:08",153,689,0.222060957910015,0.61432067217052
"74",74,53,"break-in","1987-10-16","01:32",134,892,0.150224215246637,0.610172421899688
"75",75,79,"foreman's dog","1998-05-01","04:21",33,175,0.188571428571429,0.592660479822615
"76",76,57,"glueman","1988-05-12","04:23",132,879,0.150170648464164,0.584329167721019
"77",77,80,"guilford fall","1996-08-15","02:57",32,228,0.140350877192982,0.583692005275705
"78",78,45,"brendan #1","1989-04-05","02:32",156,849,0.183745583038869,0.581652757173106
"79",79,40,"kyeo","1987-10-07","02:58",173,893,0.193729003359462,0.573491944574421
"80",80,58,"joe #1","1987-09-03","03:01",130,895,0.145251396648045,0.522205170882838
"81",81,76,"latest disgrace","1994-11-20","03:34",39,376,0.103723404255319,0.511380116304247
"82",82,66,"furniture","1987-09-03","03:35",93,895,0.10391061452514,0.472669108955692
"83",83,78,"version","1994-08-27","03:20",34,377,0.0901856763925729,0.426671725701611
"84",84,74,"steady diet","1991-04-12","03:42",46,671,0.0685543964232489,0.382566771963197
"85",85,86,"combination lock","1994-11-27","03:06",21,375,0.056,0.348067810335753
"86",86,83,"23 beats off","1992-10-23","06:41",26,515,0.0504854368932039,0.327392518680715
"87",87,92,"hello morning","2001-04-27","02:06",2,44,0.0454545454545455,0.304943631084639
"88",88,81,"the word","1987-09-03","04:38",32,895,0.0357541899441341,0.244750813548967
"89",89,84,"in defense of humans","1987-09-03","02:47",25,895,0.0279329608938547,0.215473810752327
"90",90,89,"turn off your guns","1987-09-03","03:43",15,895,0.0167597765363128,0.120879003406946
"91",91,90,"provisional","1988-11-14","02:17",8,859,0.00931315483119907,0.0559572565576652
"92",92,91,"polish","1991-03-06","03:38",6,683,0.00878477306002928,0
